key,Ps0:com.imo.android.imoimalpha
alias,PSS0
unit,(KB)
begin date,2019-06-30
end date,2019-06-30
count,20

,total,dalvik,native
min,44650.0,4906.0,5269.0
max,49799.0,6354.0,5598.0
avg,49082.0,5328.0,5339.0

13:41:01.496,49310,5583,5310
13:41:02.647,49310,5583,5310
13:41:03.808,49190,5583,5310
13:41:04.978,49310,5583,5310
13:41:06.123,49708,5606,5326
13:41:07.273,49748,5618,5334
13:41:08.497,49748,5618,5334
13:41:09.699,49748,5618,5334
13:41:10.888,49748,5618,5334
13:41:12.075,49032,4906,5334
13:41:13.257,49032,4906,5334
13:41:14.431,49032,4906,5334
13:41:15.632,49032,4906,5334
13:41:16.783,49032,4906,5334
13:41:17.937,49032,4906,5334
13:41:19.151,49032,4906,5334
13:41:20.340,49080,4906,5346
13:41:21.550,49080,4906,5346
13:41:44.054,44650,5650,5269
13:41:45.229,49799,6354,5598

