time,dalick,native,graphics,total
17:18:41,23722,16149,72192,203743,
17:18:43,24351,22117,75844,254841,
17:18:44,21965,22493,74608,253080,
17:18:46,21357,22337,74608,249708,
17:18:47,21357,22337,74608,249712,
17:18:49,21357,22317,74608,249664,
17:18:50,20949,22317,74608,249236,
17:18:52,29796,25363,76032,271808,
17:18:54,56868,26167,104028,328168,
17:18:55,53588,26171,104028,324784,
17:18:57,49968,26171,104028,321160,
17:18:58,50012,26171,104028,321192,
17:19:00,50012,25655,104028,320688,
17:19:02,50108,25835,103920,321124,
17:19:04,52636,39599,167232,402196,
17:19:06,47792,41715,198012,430270,
17:19:08,48567,29511,103832,323110,
17:19:09,70271,29119,116752,359820,
17:19:11,62043,29071,116752,351496,
17:19:13,62047,29039,116752,351436,
17:19:14,59967,29039,116752,349364,
17:19:16,59967,29039,116752,349368,
17:19:17,59967,29051,116752,349372,
17:19:19,60735,30299,118332,353230,
17:19:21,48563,43395,169048,404534,
17:19:22,47423,43739,169564,404200,
17:19:24,47419,43767,169888,404514,
17:19:26,45851,43747,169948,402993,
17:19:27,45863,43655,170000,402993,
17:19:29,45911,43531,170004,402919,
17:19:30,61767,30499,116992,352476,
17:19:32,60875,30495,118000,352472,
17:19:33,60875,30435,118000,352412,
17:19:35,60875,30431,118000,352392,
17:19:37,59979,30395,118000,351464,
17:19:38,60031,30395,118000,351520,
17:19:40,61023,37703,106740,348868,
