time,cpu
17:18:41,0.0%
17:18:42,42.74%
17:18:43,26.44%
17:18:44,10.2%
17:18:46,4.36%
17:18:47,6.13%
17:18:48,7.01%
17:18:49,6.83%
17:18:51,8.82%
17:18:52,40.72%
17:18:53,19.57%
17:18:55,9.23%
17:18:56,7.73%
17:18:57,9.14%
17:18:59,8.28%
17:19:00,4.29%
17:19:01,8.26%
17:19:02,21.45%
17:19:04,31.56%
17:19:05,35.16%
17:19:06,30.9%
17:19:07,30.24%
17:19:09,31.06%
17:19:10,20.44%
17:19:11,22.48%
17:19:12,20.63%
17:19:14,23.18%
17:19:15,20.94%
17:19:16,18.54%
17:19:18,21.41%
17:19:19,25.16%
17:19:20,30.71%
17:19:22,27.88%
17:19:23,26.4%
17:19:24,24.65%
17:19:25,20.25%
17:19:27,22.61%
17:19:28,25.0%
17:19:29,24.16%
17:19:30,21.5%
17:19:32,18.81%
17:19:33,22.24%
17:19:34,22.39%
17:19:36,22.04%
17:19:37,21.66%
17:19:38,19.12%
17:19:39,23.57%
