time,cpu
19:53:02,0.0%
19:53:04,40.62%
19:53:05,22.42%
19:53:06,6.61%
19:53:08,8.77%
19:53:09,2.95%
19:53:10,6.75%
19:53:11,9.58%
19:53:13,10.35%
19:53:14,33.66%
19:53:15,34.23%
19:53:16,8.45%
19:53:18,6.25%
19:53:19,7.57%
19:53:20,8.2%
19:53:22,8.83%
19:53:23,9.07%
19:53:24,33.46%
19:53:25,38.2%
19:53:27,34.27%
19:53:28,35.3%
19:53:29,33.67%
19:53:31,21.23%
19:53:32,22.99%
19:53:33,20.51%
19:53:34,23.02%
19:53:36,21.7%
19:53:37,23.38%
19:53:38,20.27%
19:53:39,16.0%
19:53:41,25.15%
19:53:42,32.25%
19:53:43,38.25%
19:53:44,35.27%
19:53:46,34.24%
19:53:47,25.6%
19:53:48,22.33%
19:53:50,16.73%
19:53:51,24.34%
19:53:52,21.57%
19:53:53,23.3%
19:53:55,21.3%
19:53:56,20.63%
19:53:57,24.07%
19:53:58,38.02%
19:54:00,33.86%
19:54:01,36.87%
19:54:02,36.11%
19:54:04,25.0%
19:54:05,23.48%
19:54:06,22.19%
19:54:07,21.21%
19:54:09,21.22%
19:54:10,19.05%
19:54:11,21.5%
19:54:12,19.31%
19:54:14,24.65%
19:54:15,33.93%
19:54:16,36.29%
19:54:17,35.52%
19:54:19,33.46%
19:54:20,28.54%
19:54:21,20.16%
19:54:23,21.54%
19:54:24,19.78%
19:54:25,24.06%
19:54:26,23.43%
19:54:28,22.61%
19:54:29,21.74%
19:54:30,19.17%
19:54:31,31.36%
19:54:33,35.17%
19:54:34,37.25%
19:54:35,38.94%
19:54:37,32.1%
19:54:38,23.06%
19:54:39,22.68%
19:54:40,20.97%
19:54:42,16.87%
19:54:43,23.8%
19:54:44,24.34%
19:54:45,24.13%
19:54:47,22.57%
19:54:48,25.3%
19:54:49,35.32%
19:54:50,36.04%
19:54:52,36.7%
19:54:53,33.47%
19:54:54,24.8%
19:54:56,23.27%
19:54:57,22.61%
19:54:58,21.45%
19:54:59,24.18%
19:55:01,22.76%
19:55:02,19.06%
19:55:03,21.15%
19:55:05,23.27%
19:55:06,39.37%
19:55:07,39.91%
19:55:08,37.14%
19:55:10,35.74%
19:55:11,31.87%
19:55:12,19.11%
19:55:13,24.31%
19:55:15,23.2%
19:55:16,21.71%
19:55:17,24.64%
19:55:18,23.01%
19:55:20,20.45%
19:55:21,22.4%
19:55:22,26.23%
19:55:24,35.47%
19:55:25,41.68%
19:55:26,40.77%
19:55:28,38.44%
19:55:29,17.31%
19:55:30,22.07%
19:55:32,22.09%
19:55:33,20.44%
19:55:34,22.67%
19:55:35,22.24%
19:55:37,24.6%
19:55:38,23.27%
19:55:39,34.4%
19:55:41,31.49%
19:55:42,37.47%
19:55:43,35.05%
19:55:44,36.91%
19:55:46,18.28%
19:55:47,22.9%
19:55:48,23.25%
19:55:50,23.52%
19:55:51,23.48%
19:55:52,21.58%
19:55:53,22.47%
19:55:55,21.13%
19:55:56,23.35%
19:55:57,43.67%
19:55:58,39.13%
19:56:00,33.19%
19:56:01,38.85%
19:56:03,20.25%
19:56:04,27.7%
19:56:05,23.12%
19:56:06,23.01%
19:56:07,22.93%
19:56:09,24.02%
19:56:10,23.01%
19:56:11,23.77%
19:56:13,21.18%
19:56:14,43.88%
19:56:15,36.06%
19:56:16,38.9%
19:56:18,39.02%
19:56:19,39.3%
19:56:20,23.78%
19:56:21,22.9%
19:56:23,23.76%
19:56:24,21.2%
19:56:25,22.88%
19:56:26,24.48%
19:56:28,24.44%
19:56:29,24.15%
19:56:30,18.94%
19:56:32,35.3%
19:56:33,37.28%
19:56:34,39.09%
19:56:35,39.44%
19:56:37,23.55%
19:56:38,24.68%
19:56:39,23.58%
19:56:41,21.08%
19:56:42,24.8%
19:56:43,23.93%
19:56:44,21.89%
19:56:46,21.51%
19:56:47,24.25%
19:56:48,40.16%
19:56:49,27.77%
19:56:51,38.62%
19:56:52,39.29%
19:56:53,37.2%
19:56:55,17.14%
19:56:56,24.53%
19:56:57,24.5%
19:56:58,21.81%
19:57:00,23.56%
19:57:01,23.38%
19:57:02,24.34%
19:57:03,19.58%
19:57:05,32.92%
19:57:06,39.75%
19:57:07,39.91%
19:57:09,36.94%
19:57:10,37.34%
19:57:11,24.94%
19:57:12,22.54%
19:57:14,23.42%
19:57:15,24.0%
19:57:16,25.55%
19:57:17,18.25%
19:57:19,24.41%
19:57:20,25.15%
19:57:21,22.0%
19:57:22,38.65%
19:57:24,40.12%
19:57:25,35.31%
19:57:26,35.71%
19:57:27,27.66%
19:57:29,20.03%
19:57:30,21.13%
19:57:31,25.62%
19:57:33,25.9%
19:57:34,25.81%
19:57:35,16.81%
19:57:36,26.07%
19:57:38,23.68%
19:57:39,35.63%
19:57:40,40.04%
19:57:41,39.14%
19:57:43,40.0%
19:57:44,31.8%
19:57:45,20.61%
19:57:46,22.98%
19:57:48,20.48%
19:57:49,24.84%
19:57:50,25.1%
19:57:51,24.21%
19:57:53,22.89%
19:57:54,29.43%
19:57:55,14.49%
19:57:56,53.45%
19:57:58,34.54%
19:57:59,39.91%
19:58:00,38.44%
19:58:01,34.86%
19:58:03,20.17%
19:58:04,26.35%
19:58:05,23.03%
19:58:06,21.98%
19:58:08,25.53%
19:58:09,26.15%
19:58:10,24.4%
19:58:11,24.75%
19:58:13,36.51%
19:58:14,31.02%
19:58:15,38.44%
19:58:16,37.13%
19:58:18,36.45%
19:58:19,21.05%
19:58:20,26.46%
19:58:22,24.12%
19:58:23,22.03%
19:58:24,25.04%
19:58:25,25.45%
19:58:27,18.6%
19:58:28,27.95%
19:58:29,26.11%
19:58:30,33.8%
19:58:32,42.18%
19:58:33,38.18%
19:58:34,40.03%
19:58:36,24.0%
19:58:37,23.2%
19:58:38,24.27%
19:58:39,21.35%
19:58:41,25.6%
19:58:42,24.4%
19:58:43,20.16%
19:58:44,25.91%
19:58:46,25.66%
19:58:47,30.11%
19:58:48,40.69%
19:58:49,39.71%
19:58:51,39.23%
19:58:52,26.2%
19:58:53,25.04%
19:58:55,25.7%
19:58:56,21.57%
19:58:57,26.94%
19:58:58,25.35%
19:59:00,21.74%
19:59:01,28.15%
19:59:02,25.44%
19:59:03,29.13%
19:59:05,39.17%
19:59:06,41.04%
19:59:07,32.98%
19:59:08,36.96%
19:59:10,25.4%
19:59:11,22.1%
19:59:12,24.52%
19:59:13,24.55%
19:59:15,24.42%
19:59:16,25.05%
19:59:17,25.54%
19:59:19,21.32%
19:59:20,23.72%
19:59:21,43.93%
19:59:22,39.56%
19:59:24,38.44%
19:59:25,38.7%
19:59:26,24.48%
19:59:28,19.71%
19:59:29,25.97%
19:59:30,20.97%
19:59:31,26.81%
19:59:33,26.77%
19:59:34,19.52%
19:59:35,27.55%
19:59:36,26.94%
19:59:38,23.96%
19:59:39,48.7%
19:59:41,39.09%
19:59:42,33.83%
19:59:43,33.4%
19:59:45,25.29%
19:59:46,18.37%
19:59:47,28.27%
19:59:49,21.62%
19:59:50,19.1%
19:59:51,26.23%
19:59:52,24.9%
19:59:54,23.54%
19:59:55,45.63%
19:59:56,42.25%
19:59:58,34.79%
19:59:59,36.98%
20:00:00,21.38%
20:00:01,20.98%
20:00:03,26.63%
20:00:04,17.34%
20:00:05,14.93%
20:00:07,25.66%
20:00:08,24.94%
20:00:09,21.5%
20:00:10,29.44%
20:00:12,37.65%
20:00:13,37.34%
20:00:14,41.54%
20:00:15,37.06%
20:00:17,22.56%
20:00:18,26.18%
20:00:19,21.05%
20:00:20,22.48%
20:00:22,27.72%
20:00:23,25.94%
20:00:24,24.46%
20:00:26,26.52%
20:00:27,26.09%
20:00:28,35.14%
20:00:29,37.0%
20:00:31,40.0%
20:00:32,39.24%
20:00:33,34.09%
20:00:34,22.68%
20:00:36,23.98%
20:00:37,26.91%
20:00:38,23.61%
20:00:39,26.07%
20:00:41,26.25%
20:00:42,21.21%
20:00:43,28.04%
