time,down,up,down_speed,up_speed
19:53:02,0.6484375,0.05078125,5.23,0.41,
19:53:04,1.1015625,1.2265625,0.36,0.93,
19:53:05,1.796875,2.796875,0.6,1.35,
19:53:06,2.0390625,2.8984375,0.2,0.09,
19:53:07,2.0390625,2.8984375,0.0,0.0,
19:53:08,2.0390625,2.8984375,0.0,0.0,
19:53:09,2.0390625,2.8984375,0.0,0.0,
19:53:11,2.0390625,2.8984375,0.0,0.0,
19:53:12,2.0390625,2.8984375,0.0,0.0,
19:53:13,2.0390625,4.6787109375,0.0,1.58,
19:53:14,23.607421875,13.134765625,19.1,7.49,
19:53:15,233.83203125,29.90234375,182.65,14.57,
19:53:16,233.83203125,29.90234375,0.0,0.0,
19:53:17,233.83203125,29.90234375,0.0,0.0,
19:53:19,233.83203125,29.90234375,0.0,0.0,
19:53:20,233.94921875,30.01953125,0.1,0.1,
19:53:21,233.94921875,30.01953125,0.0,0.0,
19:53:22,233.94921875,31.447265625,0.0,1.22,
19:53:23,468.2763671875,40.4541015625,196.25,7.54,
19:53:24,1677.419921875,66.9677734375,984.64,21.59,
19:53:26,2871.4306640625,93.623046875,981.92,21.92,
19:53:27,3779.7607421875,115.0517578125,783.04,18.47,
19:53:28,3861.8935546875,117.083984375,71.48,1.77,
19:53:29,3999.5029296875,125.2451171875,118.73,7.04,
19:53:30,3999.8974609375,125.59375,0.34,0.3,
19:53:31,3999.8974609375,125.59375,0.0,0.0,
19:53:33,3999.8974609375,125.59375,0.0,0.0,
19:53:34,3999.8974609375,125.71875,0.0,0.11,
19:53:35,4000.1240234375,125.9658203125,0.2,0.22,
19:53:36,4000.1240234375,125.9658203125,0.0,0.0,
19:53:37,4000.1240234375,125.9658203125,0.0,0.0,
19:53:38,4000.7177734375,126.716796875,0.52,0.65,
19:53:40,4000.8349609375,126.833984375,0.1,0.1,
19:53:41,4035.78515625,131.595703125,30.63,4.17,
19:53:42,5179.4853515625,155.9228515625,993.66,21.14,
19:53:43,6300.1943359375,178.5751953125,908.19,18.36,
19:53:44,6484.1533203125,182.564453125,156.69,3.4,
19:53:45,7676.8603515625,210.2744140625,980.84,22.79,
19:53:47,7848.1474609375,214.2236328125,143.94,3.32,
19:53:48,8767.17578125,233.7744140625,795.01,16.91,
19:53:49,8767.34375,234.087890625,0.15,0.28,
19:53:50,8767.34375,234.087890625,0.0,0.0,
19:53:51,8767.39453125,234.2841796875,0.04,0.16,
19:53:52,8767.39453125,234.2841796875,0.0,0.0,
19:53:54,8767.39453125,234.3232421875,0.0,0.03,
19:53:55,8767.5703125,234.4990234375,0.15,0.15,
19:53:56,8767.5703125,234.4990234375,0.0,0.0,
19:53:57,8767.6474609375,234.6259765625,0.07,0.11,
19:53:58,8769.1298828125,237.9541015625,1.18,2.66,
19:53:59,8769.1962890625,238.0712890625,0.06,0.1,
19:54:01,8769.1962890625,238.0712890625,0.0,0.0,
19:54:02,8769.1962890625,238.0712890625,0.0,0.0,
19:54:03,8786.251953125,241.791015625,14.78,3.22,
19:54:04,8786.861328125,242.462890625,0.54,0.6,
19:54:05,8786.861328125,242.462890625,0.0,0.0,
19:54:06,8786.861328125,242.462890625,0.0,0.0,
19:54:07,8787.125,242.666015625,0.23,0.18,
19:54:09,8787.17578125,242.716796875,0.05,0.05,
19:54:10,8787.30078125,242.892578125,0.11,0.16,
19:54:11,8787.30078125,242.892578125,0.0,0.0,
19:54:12,8787.30078125,242.892578125,0.0,0.0,
19:54:13,8787.30078125,242.892578125,0.0,0.0,
19:54:14,8788.619140625,246.140625,1.13,2.78,
19:54:16,8789.25390625,246.60546875,0.56,0.41,
19:54:17,8789.25390625,246.60546875,0.0,0.0,
19:54:18,8789.25390625,246.60546875,0.0,0.0,
19:54:19,8789.52734375,246.9765625,0.23,0.32,
19:54:20,8806.552734375,249.576171875,14.51,2.22,
19:54:21,8806.552734375,249.576171875,0.0,0.0,
19:54:22,8806.552734375,249.576171875,0.0,0.0,
19:54:24,8806.552734375,249.576171875,0.0,0.0,
19:54:25,8806.619140625,249.693359375,0.06,0.1,
19:54:26,8806.619140625,249.693359375,0.0,0.0,
19:54:27,8806.619140625,249.693359375,0.0,0.0,
19:54:28,8807.083984375,250.248046875,0.41,0.49,
19:54:29,8807.3408203125,250.525390625,0.21,0.23,
19:54:31,8807.3408203125,250.525390625,0.0,0.0,
19:54:32,8808.900390625,253.71484375,1.36,2.77,
19:54:33,8808.900390625,253.71484375,0.0,0.0,
19:54:34,8808.966796875,253.83203125,0.06,0.1,
19:54:35,8808.966796875,253.83203125,0.0,0.0,
19:54:36,8825.890625,256.279296875,14.35,2.08,
19:54:38,8825.890625,256.279296875,0.0,0.0,
19:54:39,8825.890625,256.345703125,0.0,0.05,
19:54:40,8825.95703125,256.396484375,0.06,0.04,
19:54:41,8825.95703125,256.396484375,0.0,0.0,
19:54:42,8825.95703125,256.396484375,0.0,0.0,
19:54:43,8825.95703125,256.396484375,0.0,0.0,
19:54:45,8826.08203125,256.572265625,0.11,0.15,
19:54:46,8826.08203125,256.572265625,0.0,0.0,
19:54:47,8826.08203125,256.572265625,0.0,0.0,
19:54:48,8827.087890625,259.34765625,0.86,2.36,
19:54:49,8827.7080078125,259.87890625,0.54,0.47,
19:54:50,8827.7080078125,259.87890625,0.0,0.0,
19:54:51,8827.7080078125,259.87890625,0.0,0.0,
19:54:53,8827.7080078125,259.87890625,0.0,0.0,
19:54:54,8845.2138671875,263.099609375,14.82,2.73,
19:54:55,8845.2138671875,263.099609375,0.0,0.0,
19:54:56,8845.2138671875,263.099609375,0.0,0.0,
19:54:57,8845.2138671875,263.099609375,0.0,0.0,
19:54:59,8845.2138671875,263.099609375,0.0,0.0,
19:55:00,8845.3388671875,263.275390625,0.1,0.15,
19:55:01,8845.3974609375,263.6142578125,0.05,0.29,
19:55:02,8851.7607421875,265.8876953125,5.61,2.0,
19:55:03,8851.7607421875,265.8876953125,0.0,0.0,
19:55:04,8851.8271484375,266.0048828125,0.06,0.1,
19:55:05,8853.38671875,269.1943359375,1.3,2.66,
19:55:07,8853.38671875,269.1943359375,0.0,0.0,
19:55:08,8853.38671875,269.1943359375,0.0,0.0,
19:55:09,8853.51171875,269.3701171875,0.11,0.15,
19:55:10,8870.34375,271.7783203125,14.5,2.07,
19:55:11,8870.34375,271.7783203125,0.0,0.0,
19:55:12,8870.34375,271.7783203125,0.0,0.0,
19:55:14,8870.34375,271.7783203125,0.0,0.0,
19:55:15,8870.41015625,271.8955078125,0.05,0.1,
19:55:16,8870.41015625,271.8955078125,0.0,0.0,
19:55:17,8870.41015625,271.8955078125,0.0,0.0,
19:55:18,8870.875,272.4501953125,0.4,0.47,
19:55:19,8871.0,272.7041015625,0.11,0.23,
19:55:20,8871.0,272.7041015625,0.0,0.0,
19:55:22,8871.0,272.7041015625,0.0,0.0,
19:55:23,9768.65625,295.4765625,805.8,20.44,
19:55:24,11213.13671875,322.177734375,1141.88,21.11,
19:55:25,12213.0732421875,344.1044921875,836.07,18.33,
19:55:26,12511.49609375,350.6142578125,264.56,5.77,
19:55:28,12528.328125,353.2138671875,14.65,2.26,
19:55:29,12528.328125,353.2138671875,0.0,0.0,
19:55:30,12528.39453125,353.3310546875,0.05,0.09,
19:55:31,12528.39453125,353.3310546875,0.0,0.0,
19:55:32,12528.39453125,353.3310546875,0.0,0.0,
19:55:33,12528.39453125,353.3310546875,0.0,0.0,
19:55:35,12528.51953125,353.5068359375,0.11,0.15,
19:55:36,12528.51953125,353.5068359375,0.0,0.0,
19:55:37,12528.51953125,353.5068359375,0.0,0.0,
19:55:38,12528.51953125,353.5068359375,0.0,0.0,
19:55:39,12528.6630859375,353.8720703125,0.13,0.32,
19:55:40,12530.453125,357.0947265625,1.57,2.82,
19:55:41,12530.453125,357.0947265625,0.0,0.0,
19:55:43,12530.453125,357.0947265625,0.0,0.0,
19:55:44,12530.99609375,357.6494140625,0.49,0.5,
19:55:45,12547.953125,360.1708984375,14.9,2.22,
19:55:46,12547.953125,360.1708984375,0.0,0.0,
19:55:47,12547.953125,360.1708984375,0.0,0.0,
19:55:48,12547.953125,360.1708984375,0.0,0.0,
19:55:49,12548.43359375,360.4521484375,0.42,0.25,
19:55:51,12548.43359375,360.4521484375,0.0,0.0,
19:55:52,12548.43359375,360.4521484375,0.0,0.0,
19:55:53,12548.43359375,360.4521484375,0.0,0.0,
19:55:54,12548.55859375,360.6279296875,0.1,0.15,
19:55:55,12548.55859375,360.6279296875,0.0,0.0,
19:55:57,12550.27734375,363.7666015625,1.4,2.56,
19:55:58,12550.42578125,363.8173828125,0.13,0.05,
19:55:59,12550.42578125,363.8173828125,0.0,0.0,
19:56:00,12550.4921875,363.9345703125,0.06,0.1,
19:56:01,12567.6025390625,366.4833984375,14.46,2.15,
19:56:02,12567.68359375,366.5341796875,0.07,0.04,
19:56:04,12567.68359375,366.5341796875,0.0,0.0,
19:56:05,12567.75,366.6513671875,0.06,0.1,
19:56:06,12567.75,366.6513671875,0.0,0.0,
19:56:07,12567.75,366.6513671875,0.0,0.0,
19:56:08,12568.265625,367.2568359375,0.43,0.5,
19:56:09,12568.390625,367.4326171875,0.11,0.15,
19:56:11,12568.390625,367.4326171875,0.0,0.0,
19:56:12,12568.390625,367.4326171875,0.0,0.0,
19:56:13,12570.029296875,370.2431640625,1.41,2.41,
19:56:14,12570.392578125,371.3388671875,0.32,0.95,
19:56:15,12570.392578125,371.3388671875,0.0,0.0,
19:56:16,12570.392578125,371.3388671875,0.0,0.0,
19:56:18,12570.392578125,371.3388671875,0.0,0.0,
19:56:19,12570.392578125,371.3388671875,0.0,0.0,
19:56:20,12587.400390625,374.0126953125,14.67,2.31,
19:56:21,12587.400390625,374.0126953125,0.0,0.0,
19:56:22,12587.400390625,374.0126953125,0.0,0.0,
19:56:23,12587.400390625,374.0126953125,0.0,0.0,
19:56:24,12587.466796875,374.1298828125,0.06,0.1,
19:56:26,12587.466796875,374.1298828125,0.0,0.0,
19:56:27,12587.466796875,374.1298828125,0.0,0.0,
19:56:28,12587.880859375,374.2939453125,0.36,0.14,
19:56:29,12588.201171875,374.6650390625,0.28,0.32,
19:56:30,12588.201171875,374.6650390625,0.0,0.0,
19:56:31,12590.466796875,378.1591796875,1.95,3.01,
19:56:33,12590.466796875,378.2099609375,0.0,0.04,
19:56:34,12590.931640625,378.7646484375,0.41,0.49,
19:56:35,12590.998046875,378.8818359375,0.06,0.1,
19:56:36,12607.880859375,381.4306640625,14.63,2.21,
19:56:37,12607.880859375,381.4306640625,0.0,0.0,
19:56:38,12607.880859375,381.4306640625,0.0,0.0,
19:56:39,12607.947265625,381.5478515625,0.05,0.1,
19:56:41,12607.947265625,381.5478515625,0.0,0.0,
19:56:42,12607.947265625,381.5478515625,0.0,0.0,
19:56:43,12607.947265625,381.5478515625,0.0,0.0,
19:56:44,12608.072265625,381.7236328125,0.11,0.15,
19:56:45,12608.072265625,381.7236328125,0.0,0.0,
19:56:46,12608.072265625,381.7236328125,0.0,0.0,
19:56:48,12608.1494140625,381.8505859375,0.07,0.11,
19:56:49,12610.041015625,384.9130859375,1.57,2.54,
19:56:50,12610.107421875,385.0302734375,0.06,0.1,
19:56:51,12610.107421875,385.0302734375,0.0,0.0,
19:56:52,12610.107421875,385.0302734375,0.0,0.0,
19:56:53,12626.990234375,387.8447265625,14.62,2.44,
19:56:54,12627.056640625,387.9619140625,0.06,0.1,
19:56:56,12627.056640625,387.9619140625,0.0,0.0,
19:56:57,12627.056640625,388.0400390625,0.0,0.07,
19:56:58,12627.056640625,388.0400390625,0.0,0.0,
19:56:59,12627.181640625,388.2158203125,0.11,0.15,
19:57:00,12627.181640625,388.40625,0.0,0.16,
19:57:01,12633.376953125,390.8818359375,5.39,2.15,
19:57:03,12633.603515625,390.9326171875,0.19,0.04,
19:57:04,12633.603515625,390.9326171875,0.0,0.0,
19:57:05,12635.583984375,394.4775390625,1.72,3.08,
19:57:06,12636.275390625,395.0830078125,0.58,0.51,
19:57:07,12636.275390625,395.0830078125,0.0,0.0,
19:57:09,12636.275390625,395.0830078125,0.0,0.0,
19:57:10,12636.8232421875,397.2138671875,0.44,1.7,
19:57:11,12653.283203125,397.6552734375,14.45,0.39,
19:57:12,12653.283203125,397.6552734375,0.0,0.0,
19:57:13,12653.283203125,397.6552734375,0.0,0.0,
19:57:14,12653.349609375,397.7724609375,0.05,0.1,
19:57:15,12653.349609375,397.7724609375,0.0,0.0,
19:57:17,12653.349609375,397.7724609375,0.0,0.0,
19:57:18,12653.349609375,397.7724609375,0.0,0.0,
19:57:19,12653.498046875,397.9677734375,0.12,0.16,
19:57:20,12653.623046875,398.1435546875,0.11,0.15,
19:57:21,12653.7001953125,398.2705078125,0.07,0.11,
19:57:23,12655.490234375,401.3330078125,1.47,2.51,
19:57:24,12655.490234375,401.3330078125,0.0,0.0,
19:57:25,12655.556640625,401.4501953125,0.06,0.1,
19:57:26,12655.556640625,401.4501953125,0.0,0.0,
19:57:27,12672.388671875,404.2021484375,14.51,2.37,
19:57:28,12672.388671875,404.2021484375,0.0,0.0,
19:57:29,12672.455078125,404.3193359375,0.06,0.1,
19:57:31,12672.919921875,404.8740234375,0.39,0.46,
19:57:32,12672.919921875,404.8740234375,0.0,0.0,
19:57:33,12673.0009765625,404.9248046875,0.07,0.05,
19:57:34,12673.1259765625,405.1005859375,0.11,0.15,
19:57:35,12673.1259765625,405.1005859375,0.0,0.0,
19:57:36,12673.1259765625,405.1005859375,0.0,0.0,
19:57:38,12673.1259765625,405.1005859375,0.0,0.0,
19:57:39,12675.2431640625,408.7119140625,1.79,3.06,
19:57:40,12675.4072265625,408.8798828125,0.14,0.15,
19:57:41,12675.4072265625,408.8798828125,0.0,0.0,
19:57:42,12675.4072265625,408.8798828125,0.0,0.0,
19:57:43,12675.4072265625,410.478515625,0.0,1.42,
19:57:44,12692.3564453125,411.2919921875,14.89,0.71,
19:57:46,12692.3564453125,411.2919921875,0.0,0.0,
19:57:47,12692.3564453125,411.2919921875,0.0,0.0,
19:57:48,12692.3564453125,411.2919921875,0.0,0.0,
19:57:49,12692.3564453125,411.2919921875,0.0,0.0,
19:57:50,12692.4814453125,411.4677734375,0.11,0.15,
19:57:51,12692.4814453125,411.4677734375,0.0,0.0,
19:57:52,12692.4814453125,411.4677734375,0.0,0.0,
19:57:54,12692.4814453125,411.4677734375,0.0,0.0,
19:57:55,12693.0126953125,412.0849609375,0.47,0.55,
19:57:56,12693.08984375,412.2666015625,0.06,0.15,
19:57:57,12694.8798828125,415.3291015625,1.54,2.64,
19:57:58,12694.8798828125,415.3291015625,0.0,0.0,
19:57:59,12695.0048828125,415.5048828125,0.1,0.15,
19:58:01,12695.0048828125,416.7265625,0.0,1.05,
19:58:02,12711.8876953125,418.5712890625,14.74,1.61,
19:58:03,12711.8876953125,418.703125,0.0,0.11,
19:58:04,12711.8876953125,418.703125,0.0,0.0,
19:58:05,12711.9541015625,418.8203125,0.06,0.1,
19:58:06,12711.9541015625,418.8203125,0.0,0.0,
19:58:07,12711.9541015625,418.8203125,0.0,0.0,
19:58:09,12711.9541015625,418.8203125,0.0,0.0,
19:58:10,12712.0791015625,418.99609375,0.11,0.15,
19:58:11,12712.0791015625,418.99609375,0.0,0.0,
19:58:12,12712.0791015625,418.99609375,0.0,0.0,
19:58:13,12713.9462890625,422.185546875,1.61,2.74,
19:58:14,12714.0126953125,422.4345703125,0.06,0.21,
19:58:16,12714.0126953125,422.4345703125,0.0,0.0,
