time,dalick,native,graphics,total
19:53:03,24387,16018,62756,191534,
19:53:04,23843,21121,64388,237982,
19:53:06,26223,21953,64784,244030,
19:53:07,24439,21841,64784,240802,
19:53:09,24439,21845,64784,241506,
19:53:10,24439,21829,64784,241462,
19:53:12,24147,21885,64784,240130,
19:53:14,28235,23757,63248,249354,
19:53:16,52718,26929,74376,295190,
19:53:18,48382,26929,74376,290782,
19:53:19,48438,26929,74376,290874,
19:53:21,48450,26929,74376,290866,
19:53:23,48450,26425,74376,290450,
19:53:25,52429,51769,182412,429850,
19:53:27,52229,54573,184368,434562,
19:53:28,52233,53365,184684,433590,
19:53:30,82100,30661,118668,375260,
19:53:32,62732,30609,118796,355944,
19:53:33,62732,30581,118800,355914,
19:53:35,62736,30517,118800,355854,
19:53:36,62588,30473,118932,355780,
19:53:38,62612,30473,118932,355804,
19:53:39,62648,30465,118932,355828,
19:53:41,63520,32897,146992,386840,
19:53:43,52404,55481,175308,427402,
19:53:45,52804,57189,204912,459184,
19:53:47,64360,31809,119800,359500,
19:53:48,64328,31737,120084,359684,
19:53:50,62860,31757,120380,358510,
19:53:51,62872,31737,120380,358506,
19:53:53,62872,31701,120380,358474,
19:53:54,62924,31709,120380,358534,
19:53:56,62932,31705,120380,358518,
19:53:58,63956,52305,152404,412476,
19:53:59,52744,56057,176080,428898,
19:54:01,51964,56121,206192,458202,
19:54:03,52260,33281,141704,370972,
19:54:04,67352,33153,120592,364626,
19:54:06,63176,33141,120484,360236,
19:54:08,63188,33105,120484,360216,
19:54:09,63204,33089,120484,360224,
19:54:11,63176,33089,120484,360176,
19:54:13,63188,33089,120484,360192,
19:54:14,63212,33125,120484,360244,
19:54:16,66936,56493,182036,448364,
19:54:18,53832,56697,211400,464932,
19:54:19,53948,56697,211480,465218,
19:54:21,70056,33445,126056,372372,
19:54:22,63856,33425,126040,365952,
19:54:24,63868,33349,126040,365844,
19:54:26,63904,33349,126040,365876,
19:54:27,63904,33297,126040,365824,
19:54:29,63880,33297,126040,365800,
19:54:30,63916,33213,126040,365584,
19:54:32,68852,57065,210936,479324,
19:54:34,54568,57169,211792,466054,
19:54:35,54628,57397,211900,466498,
19:54:37,60168,34717,122228,359250,
19:54:38,66464,34741,127968,371396,
19:54:40,65044,34713,127968,369948,
19:54:42,65056,34689,127968,370229,
19:54:43,65056,34669,127968,370209,
19:54:45,65084,34653,127968,370241,
19:54:47,65020,34649,127968,370137,
19:54:48,65928,50449,126476,385647,
19:54:50,67628,57925,214180,482197,
19:54:52,55752,57901,214324,470507,
19:54:53,55800,57245,136968,392555,
19:54:55,69668,35077,130412,376853,
19:54:57,65504,35073,130260,372465,
19:54:58,65516,35037,130260,372437,
19:55:00,65544,35021,130260,372457,
19:55:02,65556,35237,130260,372773,
19:55:03,65508,35245,130260,372681,
19:55:05,66508,51213,130260,390099,
19:55:07,68892,58925,186756,456759,
19:55:08,56556,58985,187080,444769,
19:55:10,56632,59097,172124,430021,
19:55:12,73836,36337,130048,382747,
19:55:13,67048,36313,129936,375799,
19:55:15,67072,36305,129936,375827,
19:55:17,67088,36305,129936,375843,
19:55:18,67088,36265,129936,375803,
19:55:20,67092,36269,129936,375811,
19:55:22,67100,36293,129936,375839,
19:55:24,73412,60593,215008,492503,
19:55:26,58672,63357,215012,480327,
19:55:27,58836,62153,215132,479323,
19:55:29,71644,37189,130164,382111,
19:55:31,68428,37173,129936,378523,
19:55:32,68428,37185,130228,378835,
19:55:34,68428,37169,130228,378827,
19:55:36,68368,37157,130228,378747,
19:55:37,68368,37117,130228,378719,
19:55:39,68368,37113,130228,378707,
19:55:41,74260,62449,215856,496015,
19:55:43,59396,62357,215732,480883,
19:55:44,59396,62069,216308,481181,
19:55:46,72612,38037,130196,384141,
19:55:48,69400,38021,130144,380767,
19:55:49,69404,38033,130436,381107,
19:55:51,69132,37989,130436,380759,
19:55:53,69144,37981,130436,380763,
19:55:55,69196,37965,130436,380807,
19:55:57,70132,54869,129008,397685,
19:55:58,62812,62965,219288,488755,
19:56:00,61648,62881,219688,487875,
19:56:02,63300,38801,109384,355271,
19:56:03,72716,38865,133188,388527,
19:56:05,72716,38861,133196,388527,
19:56:07,71112,38833,133196,386879,
19:56:08,71124,38805,133196,386863,
19:56:10,71164,38805,133196,386919,
19:56:12,71104,38801,133196,386823,
19:56:13,76360,63661,209180,493349,
19:56:15,64828,63873,219760,492299,
19:56:17,63516,63709,219868,490895,
19:56:19,63528,63449,219976,490819,
19:56:20,78860,39681,132980,395323,
19:56:22,72724,39613,134012,390005,
19:56:23,72724,39597,134144,390135,
19:56:25,72740,39601,134164,390187,
19:56:27,72712,39573,134172,390123,
19:56:29,72752,39573,134172,390183,
19:56:30,72776,39569,134172,390195,
19:56:32,76364,64669,189680,474935,
19:56:34,66340,64565,190400,465319,
19:56:35,66340,64453,190512,465347,
19:56:37,80248,40033,133268,397459,
19:56:39,75492,39993,134084,393449,
19:56:41,75496,39993,134084,393461,
19:56:42,73936,39945,134084,391837,
19:56:44,73948,39945,134084,391857,
19:56:46,73984,39913,134084,391861,
19:56:48,73948,39925,134100,391853,
19:56:50,77740,65341,218684,506807,
19:56:51,65648,65289,218700,494611,
19:56:53,65880,41101,140920,392423,
19:56:55,78680,41253,134368,398375,
19:56:57,74480,41241,134564,394297,
19:56:59,74492,41233,134564,394313,
19:57:00,74544,41229,134564,394357,
19:57:02,74524,41209,134592,394389,
19:57:04,74528,41205,134592,394345,
19:57:05,80388,66157,193276,484625,
19:57:07,67000,66277,189916,468217,
19:57:09,67024,66161,219720,497933,
19:57:11,82640,42121,133112,402423,
19:57:12,77924,42045,134296,398637,
19:57:14,76308,42049,134316,397065,
19:57:16,76332,42029,134316,397077,
19:57:18,76292,42001,134316,397001,
19:57:19,76428,42001,134316,397161,
19:57:21,76508,41997,134316,397205,
19:57:23,78960,67129,191916,482909,
19:57:25,69820,66973,192056,473871,
19:57:27,69820,66669,192172,473779,
19:57:28,80036,42541,134660,401567,
19:57:30,76776,42541,134572,398149,
19:57:32,76776,42521,134572,398129,
19:57:34,76704,42533,134856,398349,
19:57:36,76756,42521,134856,398405,
19:57:37,76764,42517,134856,398397,
19:57:39,82884,67613,196256,491683,
19:57:41,71276,67809,191660,475025,
19:57:43,71276,67621,191768,474993,
19:57:44,81768,45545,133004,404899,
19:57:46,78956,43645,134940,402015,
19:57:48,78956,43613,134940,401987,
19:57:50,78744,43613,134940,401783,
19:57:52,78752,43561,135244,402041,
19:57:54,78752,43561,135244,402053,
19:57:56,78760,43593,135244,402085,
19:57:58,81156,68577,192560,486867,
19:57:59,71128,68557,192772,476893,
19:58:01,71360,43941,111720,371381,
19:58:03,81336,43625,135872,405097,
19:58:05,81340,43633,136004,405235,
19:58:07,79780,43585,136024,403619,
19:58:09,79792,43577,136024,403635,
19:58:10,79820,43585,136024,403695,
19:58:12,79780,43585,136032,403615,
19:58:14,84916,68953,220756,519771,
19:58:16,73320,68929,221244,508469,
19:58:18,71912,68653,221480,506993,
19:58:20,84324,44777,136272,409883,
19:58:22,81116,44765,136176,406523,
19:58:23,80548,44761,136176,405923,
19:58:25,80612,44757,136176,406027,
19:58:27,80620,44733,136204,406019,
19:58:29,80544,44729,136204,405911,
19:58:31,84900,69569,192040,491373,
19:58:32,74856,69485,192572,481517,
19:58:34,73056,69369,192680,479725,
19:58:36,88540,45745,136328,415273,
19:58:38,83816,45709,136448,410491,
19:58:40,82224,45709,136448,408883,
19:58:42,82252,45649,136448,408859,
19:58:44,82252,45649,136448,408863,
19:58:45,82253,45660,136608,409405,
19:58:47,87485,70552,196260,499561,
19:58:49,76585,70520,193812,486301,
19:58:51,75189,70364,193928,484869,
19:58:53,89885,46484,136700,418447,
19:58:54,85125,46460,136924,413743,
19:58:56,83589,46460,136924,412195,
19:58:58,83601,46416,136924,412175,
19:59:00,83653,46388,136924,412207,
19:59:02,83617,46372,136940,412191,
19:59:04,84745,66968,135496,432733,
19:59:06,76025,71304,192668,485177,
19:59:07,75021,71108,192804,484111,
19:59:09,90989,46848,137988,420909,
19:59:11,86269,46812,138912,417045,
19:59:13,84837,46796,138912,415577,
19:59:15,84961,46780,138912,415733,
19:59:17,84977,46756,138912,415697,
19:59:19,84841,46756,138912,415557,
19:59:21,86769,69476,154640,456267,
19:59:23,78209,71992,194948,490801,
19:59:25,76893,71724,195080,489349,
19:59:26,90673,48196,134556,419055,
19:59:28,87521,48236,136736,418751,
19:59:31,86113,48232,136736,417347,
19:59:32,86125,48216,136736,417315,
19:59:34,86125,48200,136868,417437,
19:59:36,86077,48208,136896,417405,
19:59:39,87729,59992,193036,486981,
19:59:41,77665,72472,222480,519107,
19:59:43,79041,48860,112628,387019,
19:59:45,88813,48868,141508,425535,
19:59:46,88817,48856,141660,425677,
19:59:48,87341,48856,141660,424173,
19:59:50,87405,48800,141668,424225,
19:59:52,87413,48800,141668,424213,
19:59:54,87349,48844,141668,424301,
19:59:56,90073,72572,202092,510839,
19:59:58,80705,72376,201636,500783,
20:00:00,91589,50180,143816,431625,
20:00:02,90029,50140,144016,430063,
20:00:04,90029,50132,144016,430071,
20:00:06,88513,50096,144016,428510,
20:00:08,88525,50084,144032,428522,
20:00:10,88525,50060,144032,428490,
