time,down,up,down_speed,up_speed
17:00:55,0.09765625,0.05078125,0.77,0.4,
17:00:56,16.4697265625,6.2197265625,13.79,5.2,
17:00:57,445.7451171875,24.3955078125,376.89,15.96,
17:00:58,1352.6962890625,57.716796875,785.24,28.85,
17:00:59,1353.2392578125,57.919921875,0.48,0.18,
17:01:01,1353.2392578125,57.919921875,0.0,0.0,
17:01:02,1353.2392578125,57.919921875,0.0,0.0,
17:01:03,1353.2392578125,57.919921875,0.0,0.0,
17:01:04,1353.2392578125,57.919921875,0.0,0.0,
17:01:05,1353.2392578125,57.919921875,0.0,0.0,
17:01:06,1353.2392578125,57.919921875,0.0,0.0,
17:01:07,1353.2392578125,57.919921875,0.0,0.0,
17:01:09,1353.2392578125,57.919921875,0.0,0.0,
17:01:10,1353.2392578125,57.919921875,0.0,0.0,
17:01:11,1353.2392578125,57.919921875,0.0,0.0,
17:01:12,1353.2392578125,57.919921875,0.0,0.0,
17:01:13,1353.2392578125,57.919921875,0.0,0.0,
17:01:15,1353.2392578125,57.998046875,0.0,0.06,
17:01:16,1353.615234375,59.9853515625,0.32,1.68,
17:01:17,1400.2060546875,70.8056640625,41.34,9.6,
17:01:18,2777.515625,109.1376953125,1199.75,33.39,
17:01:19,4172.984375,147.5810546875,1219.82,33.6,
17:01:20,5233.7294921875,172.9267578125,895.9,21.41,
17:01:22,5234.2724609375,173.4814453125,0.48,0.49,
17:01:23,5234.2724609375,173.4814453125,0.0,0.0,
17:01:24,5234.2724609375,173.4814453125,0.0,0.0,
17:01:25,5234.353515625,173.5322265625,0.07,0.05,
17:01:26,5234.353515625,173.5322265625,0.0,0.0,
17:01:27,5234.6787109375,175.8095703125,0.28,1.98,
17:01:28,5487.115234375,197.08203125,223.0,18.79,
17:01:30,5498.513671875,199.93359375,9.85,2.46,
17:01:31,5498.708984375,200.3359375,0.17,0.35,
17:01:32,5498.80859375,200.431640625,0.08,0.08,
17:01:33,5499.20703125,200.595703125,0.35,0.14,
17:01:34,5499.20703125,200.650390625,0.0,0.05,
17:01:35,5499.30078125,200.689453125,0.08,0.03,
17:01:37,5499.30078125,200.689453125,0.0,0.0,
17:01:38,5501.185546875,207.9384765625,1.66,6.38,
17:01:39,5501.185546875,208.0166015625,0.0,0.07,
17:01:40,5501.185546875,208.0166015625,0.0,0.0,
17:01:41,5501.185546875,208.0166015625,0.0,0.0,
17:01:42,5501.185546875,208.0166015625,0.0,0.0,
17:01:43,5501.185546875,208.0166015625,0.0,0.0,
17:01:45,5501.185546875,208.0166015625,0.0,0.0,
17:01:46,5501.185546875,208.0166015625,0.0,0.0,
17:01:47,5501.185546875,208.0166015625,0.0,0.0,
17:01:48,5501.185546875,208.0166015625,0.0,0.0,
17:01:49,5501.185546875,208.0166015625,0.0,0.0,
17:01:51,5501.185546875,208.0166015625,0.0,0.0,
17:01:52,5501.185546875,208.0166015625,0.0,0.0,
17:01:53,5501.185546875,208.0166015625,0.0,0.0,
17:01:54,5501.185546875,208.0166015625,0.0,0.0,
17:01:55,5501.2666015625,208.0673828125,0.07,0.04,
17:01:56,5501.2666015625,208.0673828125,0.0,0.0,
17:01:58,5501.37109375,209.9912109375,0.09,1.66,
17:01:59,5639.1552734375,221.3447265625,120.76,9.95,
17:02:00,6783.4765625,251.8271484375,1024.46,27.29,
17:02:01,8151.0078125,282.9169921875,1201.7,27.32,
17:02:02,9540.6171875,316.623046875,1214.69,29.46,
17:02:03,10939.32421875,350.794921875,1213.1,29.64,
17:02:04,12337.72265625,386.2265625,1209.69,30.65,
17:02:06,13715.57421875,420.1982421875,1206.53,29.75,
17:02:07,15207.41015625,456.4873046875,1283.85,31.23,
17:02:08,16577.796875,487.0576171875,1140.09,25.43,
17:02:09,17748.18359375,523.048828125,1016.84,31.27,
17:02:10,17974.1416015625,535.2099609375,187.36,10.08,
17:02:11,17974.1416015625,535.2099609375,0.0,0.0,
17:02:13,17974.3330078125,535.546875,0.16,0.27,
17:02:14,17974.3330078125,535.546875,0.0,0.0,
17:02:15,17974.3330078125,535.546875,0.0,0.0,
17:02:16,17974.3720703125,535.7314453125,0.03,0.16,
17:02:17,17974.3720703125,535.7314453125,0.0,0.0,
17:02:19,17974.5048828125,536.009765625,0.11,0.23,
17:02:20,17974.5048828125,536.009765625,0.0,0.0,
17:02:21,17976.451171875,542.697265625,1.73,5.96,
17:02:22,17976.451171875,542.697265625,0.0,0.0,
17:02:23,17976.490234375,542.8818359375,0.03,0.16,
17:02:24,17976.490234375,542.8818359375,0.0,0.0,
17:02:25,17976.490234375,542.8818359375,0.0,0.0,
17:02:27,17976.529296875,543.06640625,0.03,0.15,
17:02:28,17976.529296875,543.06640625,0.0,0.0,
17:02:29,17976.529296875,543.06640625,0.0,0.0,
17:02:30,17976.529296875,543.06640625,0.0,0.0,
17:02:31,17976.529296875,543.06640625,0.0,0.0,
17:02:32,17976.529296875,543.06640625,0.0,0.0,
17:02:34,17976.529296875,543.06640625,0.0,0.0,
17:02:35,17976.529296875,543.06640625,0.0,0.0,
17:02:36,17976.529296875,543.06640625,0.0,0.0,
17:02:37,17976.529296875,543.06640625,0.0,0.0,
17:02:38,17976.529296875,543.06640625,0.0,0.0,
17:02:39,17976.529296875,543.06640625,0.0,0.0,
17:02:41,17976.529296875,543.06640625,0.0,0.0,
17:02:42,17976.529296875,543.06640625,0.0,0.0,
17:02:43,18016.9541015625,553.4365234375,35.03,8.99,
17:02:44,18965.919921875,586.1142578125,832.43,28.66,
17:02:45,19444.3271484375,600.677734375,414.92,12.63,
17:02:46,19444.3662109375,600.8623046875,0.03,0.16,
17:02:48,19444.5185546875,601.0146484375,0.13,0.13,
17:02:49,19444.5185546875,601.0146484375,0.0,0.0,
17:02:50,19444.5576171875,601.19921875,0.03,0.16,
17:02:51,19444.5576171875,601.19921875,0.0,0.0,
17:02:52,19444.6513671875,601.29296875,0.08,0.08,
17:02:53,19449.5625,602.2294921875,4.2,0.8,
17:02:54,19464.1826171875,611.572265625,12.79,8.17,
17:02:56,19673.5390625,624.0517578125,184.46,11.0,
17:02:57,19673.5390625,624.0517578125,0.0,0.0,
17:02:58,19673.73046875,624.388671875,0.16,0.29,
17:02:59,19673.73046875,624.388671875,0.0,0.0,
17:03:00,19673.76953125,624.5732421875,0.03,0.16,
17:03:01,19673.76953125,624.5732421875,0.0,0.0,
17:03:03,19673.86328125,624.6669921875,0.08,0.08,
17:03:04,19673.90234375,624.8515625,0.03,0.15,
17:03:05,19675.9462890625,631.21875,1.8,5.6,
17:03:06,19675.9970703125,631.296875,0.04,0.07,
17:03:07,19676.0361328125,631.4814453125,0.03,0.16,
17:03:08,19676.0361328125,631.4814453125,0.0,0.0,
17:03:10,19676.0361328125,631.4814453125,0.0,0.0,
17:03:11,19676.4541015625,631.779296875,0.36,0.25,
17:03:12,19676.5048828125,631.779296875,0.05,0.0,
17:03:13,19676.5048828125,631.779296875,0.0,0.0,
17:03:14,19676.5048828125,631.779296875,0.0,0.0,
17:03:15,19676.5048828125,631.779296875,0.0,0.0,
17:03:17,19676.5048828125,631.779296875,0.0,0.0,
17:03:18,19676.5048828125,631.779296875,0.0,0.0,
17:03:19,19676.5048828125,631.779296875,0.0,0.0,
