time,cpu
17:00:55,0.0%
17:00:56,45.78%
17:00:57,32.93%
17:00:59,25.8%
17:01:00,5.8%
17:01:01,19.95%
17:01:02,18.29%
17:01:04,11.45%
17:01:05,13.84%
17:01:06,19.11%
17:01:08,18.12%
17:01:09,6.8%
17:01:10,7.62%
17:01:11,6.88%
17:01:13,6.23%
17:01:14,1.42%
17:01:15,5.52%
17:01:17,39.8%
17:01:18,46.66%
17:01:19,38.15%
17:01:20,48.17%
17:01:22,41.1%
17:01:23,37.72%
17:01:24,35.77%
17:01:26,40.63%
17:01:27,35.74%
17:01:28,45.6%
17:01:29,31.19%
17:01:31,7.81%
17:01:32,4.8%
17:01:33,5.22%
17:01:35,7.11%
17:01:36,6.47%
17:01:37,7.01%
17:01:38,14.52%
17:01:40,21.38%
17:01:41,16.66%
17:01:42,11.2%
17:01:44,16.17%
17:01:45,18.75%
17:01:46,8.17%
17:01:47,16.66%
17:01:49,19.02%
17:01:50,20.07%
17:01:51,6.25%
17:01:52,0.83%
17:01:54,5.43%
17:01:55,4.88%
17:01:56,5.43%
17:01:58,9.97%
17:01:59,21.12%
17:02:00,31.23%
17:02:01,36.15%
17:02:03,37.68%
17:02:04,34.58%
17:02:05,31.91%
17:02:06,36.03%
17:02:08,37.11%
17:02:09,35.81%
17:02:10,28.19%
17:02:12,6.13%
17:02:13,7.95%
17:02:14,6.01%
17:02:15,7.63%
17:02:17,3.09%
17:02:18,5.77%
17:02:19,7.0%
17:02:21,13.73%
17:02:22,15.38%
17:02:23,18.76%
17:02:24,11.63%
17:02:26,13.11%
17:02:27,20.16%
17:02:28,18.32%
17:02:30,5.56%
17:02:31,19.91%
17:02:32,20.41%
17:02:33,13.71%
17:02:35,5.14%
17:02:36,5.33%
17:02:37,0.82%
17:02:39,6.17%
17:02:40,5.87%
17:02:41,5.55%
17:02:42,15.98%
17:02:44,21.58%
17:02:45,36.28%
17:02:46,37.6%
17:02:47,32.35%
17:02:49,33.78%
17:02:50,35.05%
17:02:51,35.01%
17:02:52,33.8%
17:02:54,30.87%
17:02:55,38.17%
17:02:56,4.32%
17:02:58,7.32%
17:02:59,6.47%
17:03:00,6.58%
17:03:01,3.57%
17:03:03,6.36%
17:03:04,5.76%
17:03:05,19.95%
17:03:07,22.15%
17:03:08,17.8%
17:03:09,3.14%
17:03:10,20.39%
17:03:12,22.17%
17:03:13,11.21%
17:03:14,12.6%
17:03:16,15.72%
17:03:17,19.42%
17:03:18,3.86%
17:03:20,6.6%
17:03:21,5.57%
17:03:22,5.14%
17:03:24,4.66%
17:03:25,1.4%
17:03:26,7.18%
17:03:27,25.95%
17:03:29,35.45%
17:03:30,36.47%
17:03:31,32.29%
17:03:32,36.54%
17:03:34,37.55%
17:03:35,36.15%
17:03:36,32.99%
17:03:37,33.67%
17:03:39,30.7%
17:03:40,6.65%
17:03:41,6.87%
17:03:43,2.92%
17:03:44,6.39%
17:03:45,6.09%
17:03:47,6.91%
17:03:48,12.44%
17:03:49,14.22%
17:03:50,21.51%
17:03:52,12.64%
17:03:53,14.19%
17:03:54,18.5%
17:03:55,18.63%
17:03:57,3.09%
17:03:58,19.91%
17:03:59,18.81%
17:04:01,14.95%
17:04:02,4.53%
17:04:03,5.21%
17:04:04,0.82%
17:04:06,4.66%
17:04:07,5.07%
17:04:08,14.63%
17:04:09,7.83%
17:04:11,4.76%
17:04:12,7.01%
17:04:13,7.28%
17:04:15,7.14%
17:04:16,8.45%
17:04:17,1.85%
17:04:18,7.58%
17:04:20,7.85%
17:04:21,7.28%
17:04:22,3.05%
17:04:24,4.51%
17:04:25,6.03%
17:04:26,6.17%
17:04:27,5.87%
17:04:29,4.46%
17:04:30,4.76%
17:04:31,5.96%
17:04:33,6.18%
17:04:34,6.47%
17:04:35,3.22%
17:04:36,3.72%
17:04:38,5.75%
