time,dalick,native,graphics,total
17:43:25,31361,19964,81316,211146,
17:43:26,31198,19991,81316,211243,
17:43:28,31198,19979,81316,211215,
17:43:29,31198,19979,81316,211215,
17:43:31,29022,19979,81316,209031,
17:43:32,29046,19979,81316,209075,
17:43:34,29058,19979,81316,209075,
