key,Pcp0:com.imo.android.imoimalpha
alias,PCP0
unit,(%)
begin date,2019-07-01
end date,2019-07-01
count,26

min,0.0%
max,3.63%
avg,0.16%

12:30:35.782,0.13%
12:30:36.851,0.0%
12:30:37.894,0.0%
12:30:39.025,0.0%
12:30:40.166,0.0%
12:30:41.337,0.0%
12:30:42.518,0.0%
12:30:43.795,3.63%
12:30:44.969,0.0%
12:30:46.143,0.0%
12:30:47.331,0.0%
12:30:48.521,0.0%
12:30:49.709,0.0%
12:30:50.919,0.0%
12:30:52.142,0.0%
12:30:53.366,0.0%
12:30:54.551,0.0%
12:30:55.747,0.0%
12:30:56.963,0.0%
12:30:58.162,0.0%
12:30:59.392,0.0%
12:31:00.598,0.0%
12:31:01.836,0.0%
12:31:03.070,0.0%
12:31:04.285,0.0%
12:31:05.468,0.42%
