time,dalick,native,graphics,total
16:25:24,16818,94670,76836,303503,
16:25:25,12250,93910,76836,298167,
16:25:27,12150,93910,76836,298066,
16:25:29,12118,93914,76836,298031,
16:25:31,12126,93802,76836,297931,
16:25:33,12294,93802,76836,298099,
16:25:34,12182,93686,76836,297877,
16:25:36,12142,93686,76836,297837,
16:25:38,12142,93686,76836,297841,
16:25:40,12470,93686,76836,298165,
16:25:42,12194,93678,76836,297889,
16:25:43,12150,93678,76836,297837,
16:25:45,12166,93662,76836,297805,
16:25:47,12142,93650,76836,297769,
16:25:49,12154,93650,76836,297781,
16:25:51,12274,93570,86980,307965,
16:25:52,null,null,null,null,
