time,down,up,down_speed,up_speed
17:09:39,1.95703125,1.482421875,14.28,10.82,
17:09:40,3.5361328125,3.490234375,1.27,1.61,
17:09:41,5.09765625,5.76171875,1.34,1.95,
17:09:42,5.4921875,6.89453125,0.33,0.94,
17:09:44,5.541015625,6.9443359375,0.04,0.04,
17:09:45,5.541015625,6.9443359375,0.0,0.0,
17:09:46,5.541015625,6.9443359375,0.0,0.0,
17:09:47,5.58984375,6.986328125,0.04,0.04,
17:09:48,5.58984375,6.986328125,0.0,0.0,
17:09:49,5.9658203125,8.8017578125,0.33,1.6,
17:09:51,18.8642578125,16.1630859375,11.19,6.38,
17:09:52,165.6142578125,31.2724609375,129.52,13.34,
17:09:53,165.9375,31.376953125,0.28,0.09,
17:09:54,165.9375,31.376953125,0.0,0.0,
17:09:55,165.9375,31.376953125,0.0,0.0,
17:09:56,166.1796875,31.6162109375,0.21,0.21,
17:09:58,166.1796875,31.6162109375,0.0,0.0,
17:09:59,166.1796875,31.712890625,0.0,0.08,
17:10:00,168.1708984375,35.6982421875,1.66,3.31,
17:10:01,672.7578125,50.109375,449.72,12.84,
17:10:02,1445.8154296875,66.04296875,659.61,13.6,
17:10:03,2540.4306640625,90.265625,906.89,20.07,
17:10:05,3152.814453125,104.4140625,531.58,12.28,
17:10:06,3298.076171875,107.828125,125.99,2.96,
17:10:07,3298.115234375,108.0126953125,0.03,0.15,
17:10:08,3298.1962890625,108.0634765625,0.07,0.04,
17:10:09,3298.1962890625,108.0634765625,0.0,0.0,
17:10:10,3298.2900390625,108.341796875,0.08,0.23,
17:10:12,3298.3291015625,108.341796875,0.03,0.0,
17:10:13,3298.3291015625,108.341796875,0.0,0.0,
17:10:14,3298.3798828125,108.392578125,0.04,0.04,
17:10:15,3298.9619140625,109.1318359375,0.49,0.62,
17:10:16,3299.1142578125,109.2841796875,0.13,0.13,
17:10:18,3299.1533203125,109.46875,0.03,0.16,
17:10:19,3299.1533203125,109.46875,0.0,0.0,
17:10:20,3299.1533203125,109.46875,0.0,0.0,
17:10:21,3299.2861328125,109.7470703125,0.12,0.24,
17:10:22,3299.2861328125,109.7470703125,0.0,0.0,
17:10:23,3299.2861328125,109.7470703125,0.0,0.0,
