time,cpu
17:09:39,0.0%
17:09:40,42.48%
17:09:42,28.08%
17:09:43,15.63%
17:09:44,4.5%
17:09:45,7.33%
17:09:47,6.4%
17:09:48,7.05%
17:09:49,10.0%
17:09:50,28.2%
17:09:52,36.11%
17:09:53,5.82%
17:09:54,6.5%
17:09:56,10.5%
17:09:57,9.85%
17:09:58,10.97%
17:09:59,3.11%
17:10:01,20.6%
17:10:02,37.04%
17:10:03,26.08%
17:10:04,31.8%
17:10:06,32.78%
17:10:07,31.25%
17:10:08,32.26%
17:10:10,34.42%
17:10:11,34.91%
17:10:12,30.12%
17:10:13,29.83%
17:10:15,30.33%
17:10:16,33.58%
17:10:17,34.12%
17:10:19,33.98%
17:10:20,32.28%
17:10:21,32.79%
17:10:22,26.05%
17:10:24,29.31%
