time,dalick,native,graphics,total
19:50:33,25343,16690,63600,194996,
19:50:34,24191,22329,65920,240772,
19:50:36,31403,22937,66056,253231,
19:50:37,25047,22813,66056,243595,
19:50:39,25047,22821,66056,243947,
19:50:40,25047,22809,66056,243943,
19:50:42,24055,22825,66056,242951,
19:50:44,26215,23317,61864,245882,
19:50:45,55502,27509,74372,298553,
19:50:47,52618,27437,74372,295317,
19:50:49,49430,27433,74372,292109,
19:50:50,49490,27485,74372,291161,
19:50:52,49502,27077,74372,290117,
19:50:55,49438,27193,74212,290243,
19:50:56,52157,44461,152492,391318,
19:50:58,48461,43753,182856,417182,
19:50:59,82944,31629,117336,374996,
19:51:01,63660,31493,117632,355902,
19:51:02,63660,31437,117632,355854,
19:51:04,63660,31413,117632,355782,
19:51:06,62052,31377,117896,354414,
19:51:07,62052,31373,117896,354414,
19:51:09,62052,31385,117924,354446,
19:51:11,62132,31597,134120,371152,
19:51:13,65104,55697,201760,467310,
19:51:15,5253,3999,0,41469,
