time,cpu
19:50:33,0.0%
19:50:34,35.45%
19:50:35,22.26%
19:50:37,15.05%
19:50:38,7.03%
19:50:39,7.09%
19:50:40,3.82%
19:50:42,7.2%
19:50:43,9.33%
19:50:44,37.78%
19:50:45,29.25%
19:50:47,5.87%
19:50:48,7.73%
19:50:49,9.97%
19:50:51,12.96%
19:50:52,7.66%
19:50:53,6.53%
19:50:54,33.96%
19:50:56,25.5%
19:50:57,23.67%
19:50:59,29.25%
19:51:00,28.94%
19:51:01,21.26%
19:51:02,17.45%
19:51:04,23.57%
19:51:05,22.91%
19:51:06,18.78%
19:51:07,20.51%
19:51:09,19.7%
19:51:10,22.66%
19:51:12,25.88%
19:51:13,39.76%
19:51:14,25.04%
