time,down,up,down_speed,up_speed
19:50:33,0.6484375,0.6796875,5.69,5.96,
19:50:34,1.05078125,0.9375,0.32,0.2,
19:50:35,13.25390625,3.80859375,10.42,2.45,
19:50:36,208.189453125,13.41796875,159.65,7.87,
19:50:37,208.189453125,13.41796875,0.0,0.0,
19:50:39,208.189453125,13.41796875,0.0,0.0,
19:50:40,208.189453125,13.41796875,0.0,0.0,
19:50:41,208.189453125,13.41796875,0.0,0.0,
19:50:42,208.189453125,13.41796875,0.0,0.0,
19:50:43,208.9091796875,15.4013671875,0.63,1.73,
19:50:44,232.6279296875,23.986328125,19.93,7.21,
19:50:46,390.8330078125,37.626953125,136.27,11.75,
19:50:47,390.8330078125,37.626953125,0.0,0.0,
19:50:48,390.8330078125,37.626953125,0.0,0.0,
19:50:49,390.8330078125,37.6953125,0.0,0.06,
19:50:50,391.0224609375,37.86328125,0.16,0.14,
19:50:51,391.0224609375,37.90234375,0.0,0.03,
19:50:53,391.0224609375,38.0,0.0,0.08,
19:50:54,1069.6171875,53.236328125,565.5,12.7,
19:50:55,2376.716796875,79.48828125,1131.69,22.73,
19:50:56,2947.9814453125,94.103515625,490.78,12.56,
19:50:57,3268.556640625,102.046875,277.31,6.87,
19:50:58,3471.30859375,108.7978515625,165.92,5.52,
19:51:00,3663.439453125,114.099609375,164.07,4.53,
19:51:01,3663.439453125,114.099609375,0.0,0.0,
19:51:02,3663.490234375,114.2958984375,0.04,0.17,
19:51:03,3663.490234375,114.2958984375,0.0,0.0,
19:51:04,3663.716796875,114.66796875,0.2,0.32,
19:51:05,3663.716796875,114.66796875,0.0,0.0,
19:51:07,3663.716796875,114.66796875,0.0,0.0,
19:51:08,3663.716796875,114.66796875,0.0,0.0,
19:51:09,3664.427734375,115.5361328125,0.58,0.71,
19:51:10,3664.7783203125,116.39453125,0.29,0.71,
19:51:11,4440.109375,135.6298828125,677.15,16.8,
19:51:13,5817.837890625,162.6455078125,1066.35,20.91,
19:51:14,6300.4599609375,173.396484375,420.04,9.36,
19:51:15,6316.0341796875,176.162109375,13.55,2.41,
19:51:16,6319.5341796875,181.1220703125,3.12,4.42,
