time,down,up,down_speed,up_speed
17:05:36,0.99609375,0.328125,8.44,2.78,
17:05:37,1.5,1.7890625,0.39,1.14,
17:05:38,2.978515625,3.9248046875,1.24,1.8,
17:05:39,3.423828125,4.6123046875,0.38,0.59,
17:05:40,3.47265625,4.662109375,0.04,0.04,
17:05:42,3.47265625,4.662109375,0.0,0.0,
17:05:43,3.47265625,4.662109375,0.0,0.0,
17:05:44,3.521484375,4.7041015625,0.04,0.04,
17:05:45,3.521484375,4.7041015625,0.0,0.0,
17:05:46,4.1435546875,6.6201171875,0.54,1.66,
17:05:47,122.8125,18.939453125,105.67,10.97,
17:05:48,474.744140625,40.7822265625,309.25,19.19,
17:05:50,474.79296875,40.82421875,0.04,0.04,
17:05:51,474.79296875,40.82421875,0.0,0.0,
17:05:52,474.79296875,40.935546875,0.0,0.1,
17:05:53,474.99609375,41.0634765625,0.17,0.11,
17:05:54,474.99609375,41.1025390625,0.0,0.03,
17:05:56,474.99609375,42.509765625,0.0,1.19,
17:05:57,486.2705078125,46.9423828125,9.63,3.79,
17:05:58,929.908203125,55.7607421875,395.75,7.87,
