time,dalick,native,graphics,total
17:05:36,24891,16165,79112,210063,
17:05:38,24403,21569,81636,256452,
17:05:39,21475,22081,81632,255530,
17:05:41,20861,21837,81376,251679,
17:05:42,20861,21837,81376,251687,
17:05:44,20861,21813,81376,251627,
17:05:45,20393,21813,81376,251147,
17:05:48,27128,24007,78808,266029,
17:05:49,56056,26663,97436,317594,
17:05:51,49444,26663,97436,310830,
17:05:52,49464,26679,97436,310918,
17:05:54,49524,26819,97436,308962,
17:05:56,49524,26303,97436,308450,
17:05:57,51348,29131,130768,347673,
