time,dalick,native,graphics,total
20:56:35,7397,25111,57328,126316,
20:56:36,4161,24871,57328,122968,
20:56:37,4069,24871,57328,122868,
20:56:39,4069,24871,57328,123472,
20:56:40,4069,24871,57328,123472,
20:56:42,4069,24871,57328,123476,
20:56:43,4073,24579,57328,123132,
20:56:44,4073,24575,57328,123128,
20:56:46,4125,24007,57328,122735,
20:56:47,4085,24007,57328,122699,
20:56:48,4085,24007,57328,122695,
20:56:50,4089,23979,57328,122675,
20:56:51,4089,23979,57328,122679,
20:56:53,4085,23967,57328,122667,
20:56:54,4085,23967,57328,122663,
20:56:55,4117,23967,57328,122699,
