time,dalick,native,graphics,total
15:41:37,31692,46086,null,183276,
15:41:39,31768,46498,null,192353,
15:41:41,31768,46497,null,192211,
15:41:43,28960,46497,null,189303,
15:41:46,28976,46497,null,189331,
15:41:48,29284,46497,null,190438,
15:41:50,29316,46497,null,190398,
15:41:52,29316,46497,null,190398,
15:41:54,28916,46497,null,189970,
15:41:57,28932,46497,null,189998,
15:41:59,28988,46497,null,190058,
15:42:01,28987,46497,null,189860,
15:42:03,29147,46497,null,188980,
15:42:06,28915,46497,null,188556,
15:42:08,28959,46497,null,188620,
15:42:10,28991,46497,null,188652,
15:42:12,29023,46497,null,188697,
15:42:14,29047,46497,null,188709,
15:42:17,28911,46497,null,188553,
15:42:19,29015,46497,null,189495,
15:42:21,29015,46497,null,189491,
15:42:23,29099,46497,null,189591,
15:42:25,29135,46497,null,189699,
15:42:28,28959,46497,null,189403,
15:42:30,28975,46497,null,189431,
15:42:32,28979,46497,null,195991,
15:42:34,29215,46497,null,188566,
15:42:36,29215,46497,null,188566,
15:42:39,28931,46497,null,188246,
15:42:41,28943,46497,null,188266,
15:42:43,28975,46497,null,188302,
15:42:45,28991,46497,null,188318,
15:42:47,29231,46497,null,189373,
15:42:50,28955,46497,null,189037,
15:42:52,28967,46497,null,189073,
15:42:54,29047,46497,null,189149,
15:42:56,29047,46497,null,189153,
15:42:58,29059,46497,null,189169,
15:43:01,28935,46497,null,189025,
15:43:03,29223,46497,null,195721,
15:43:05,29243,46497,null,188357,
15:43:07,29243,46497,null,188365,
15:43:09,29243,46497,null,188357,
15:43:11,28951,46497,null,188029,
15:43:14,28991,46497,null,188093,
15:43:16,29011,46497,null,188109,
15:43:18,29143,46497,null,189053,
15:43:20,29159,46497,null,189049,
15:43:22,29023,46497,null,188897,
15:43:25,29035,46497,null,188909,
15:43:27,29035,46497,null,188913,
15:43:29,29035,46497,null,188909,
15:43:31,29035,46497,null,188913,
15:43:33,29163,46497,null,195381,
15:43:35,29183,46497,null,188025,
15:43:38,29183,46497,null,188033,
15:43:40,29183,46497,null,188025,
15:43:42,29183,46497,null,188033,
15:43:44,28959,46497,null,187761,
15:43:46,28971,46497,null,187785,
15:43:48,29187,46497,null,188821,
15:43:51,29219,46497,null,188829,
15:43:53,29223,46497,null,188845,
15:43:55,28963,46497,null,188537,
15:43:57,29015,46497,null,188609,
15:43:59,29027,46497,null,188617,
15:44:01,29027,46497,null,188621,
15:44:04,29127,46497,null,195097,
15:44:06,29311,46497,null,194594,
15:44:08,29371,46497,null,194634,
15:44:10,29371,46497,null,194394,
15:44:12,29371,46497,null,194392,
15:44:15,29371,46497,null,194388,
15:44:17,29259,46497,null,194236,
15:44:19,29391,46497,null,187792,
15:44:21,29399,46497,null,187792,
15:44:23,29403,46497,null,187804,
15:44:25,29399,46497,null,187764,
15:44:28,29291,46497,null,187624,
15:44:30,29303,46497,null,187644,
15:44:32,29303,46497,null,187648,
15:44:34,29423,46497,null,194404,
15:44:36,29443,46497,null,187044,
15:44:38,29255,46497,null,186820,
