time,down,up,down_speed,up_speed
15:41:36,0.0546875,0.15234375,0.36,1.0,
15:41:37,0.0546875,0.15234375,0.0,0.0,
15:41:38,0.0546875,0.15234375,0.0,0.0,
15:41:39,0.0546875,0.15234375,0.0,0.0,
15:41:41,0.0546875,0.15234375,0.0,0.0,
15:41:42,0.109375,0.24609375,0.05,0.08,
15:41:43,0.109375,0.24609375,0.0,0.0,
15:41:44,0.109375,0.24609375,0.0,0.0,
15:41:45,0.109375,0.24609375,0.0,0.0,
15:41:46,0.671875,1.9794921875,0.49,1.51,
15:41:48,0.671875,1.9794921875,0.0,0.0,
15:41:49,0.671875,1.9794921875,0.0,0.0,
15:41:50,0.671875,1.9794921875,0.0,0.0,
15:41:51,0.7265625,2.0732421875,0.05,0.08,
15:41:52,0.7265625,2.0732421875,0.0,0.0,
15:41:54,0.7265625,2.0732421875,0.0,0.0,
15:41:55,0.7265625,2.0732421875,0.0,0.0,
15:41:56,0.78125,2.2255859375,0.05,0.13,
15:41:57,0.78125,2.2646484375,0.0,0.03,
15:41:58,0.78125,2.2646484375,0.0,0.0,
15:41:59,0.78125,2.2646484375,0.0,0.0,
15:42:00,0.78125,2.2646484375,0.0,0.0,
15:42:02,0.96484375,2.5703125,0.16,0.26,
15:42:03,0.96484375,2.5703125,0.0,0.0,
15:42:04,0.96484375,2.5703125,0.0,0.0,
15:42:05,0.96484375,2.5703125,0.0,0.0,
15:42:06,1.01953125,2.72265625,0.05,0.13,
15:42:08,1.01953125,2.72265625,0.0,0.0,
15:42:09,1.01953125,2.72265625,0.0,0.0,
15:42:10,1.1005859375,2.7734375,0.07,0.04,
15:42:11,1.5498046875,3.03125,0.39,0.22,
15:42:12,1.681640625,3.08203125,0.11,0.04,
15:42:13,1.681640625,3.08203125,0.0,0.0,
15:42:15,1.732421875,3.1328125,0.04,0.04,
15:42:16,1.732421875,3.1328125,0.0,0.0,
15:42:17,2.099609375,4.5927734375,0.32,1.27,
15:42:18,2.419921875,4.7060546875,0.26,0.09,
15:42:19,2.419921875,4.7060546875,0.0,0.0,
15:42:21,2.419921875,4.7060546875,0.0,0.0,
15:42:22,2.474609375,4.9599609375,0.05,0.22,
15:42:23,2.623046875,5.0107421875,0.12,0.04,
15:42:24,2.681640625,5.521484375,0.05,0.44,
15:42:25,8.994140625,7.1416015625,5.4,1.38,
15:42:26,9.048828125,7.2939453125,0.05,0.13,
15:42:28,9.048828125,7.2939453125,0.0,0.0,
15:42:29,9.048828125,7.2939453125,0.0,0.0,
15:42:30,9.048828125,7.2939453125,0.0,0.0,
15:42:31,9.1640625,7.4912109375,0.1,0.17,
15:42:32,9.232421875,7.599609375,0.06,0.09,
15:42:33,9.232421875,7.599609375,0.0,0.0,
15:42:35,9.232421875,7.599609375,0.0,0.0,
15:42:36,9.232421875,7.599609375,0.0,0.0,
15:42:37,9.287109375,7.751953125,0.05,0.13,
15:42:38,9.287109375,7.751953125,0.0,0.0,
15:42:39,9.287109375,7.751953125,0.0,0.0,
15:42:40,9.287109375,7.751953125,0.0,0.0,
15:42:42,9.341796875,7.845703125,0.05,0.08,
15:42:43,9.341796875,7.845703125,0.0,0.0,
15:42:44,9.341796875,7.845703125,0.0,0.0,
15:42:45,9.341796875,7.845703125,0.0,0.0,
15:42:46,9.396484375,9.5400390625,0.05,1.47,
15:42:47,9.955078125,9.6923828125,0.48,0.13,
15:42:49,9.955078125,9.6923828125,0.0,0.0,
