time,cpu
15:41:36,5.07%
15:41:37,16.27%
15:41:38,1.59%
15:41:40,13.52%
15:41:41,9.65%
15:41:42,5.4%
15:41:44,15.32%
15:41:45,1.15%
15:41:46,18.07%
15:41:48,9.45%
15:41:49,5.78%
15:41:50,15.06%
15:41:51,0.59%
15:41:53,15.23%
15:41:54,3.19%
15:41:55,11.87%
15:41:57,10.52%
15:41:58,4.9%
15:41:59,15.09%
15:42:01,2.3%
15:42:02,15.85%
15:42:03,8.79%
15:42:04,8.31%
15:42:06,14.53%
15:42:07,1.2%
15:42:08,14.69%
15:42:10,5.74%
15:42:11,10.03%
15:42:12,13.9%
15:42:13,2.13%
15:42:15,14.6%
15:42:16,5.99%
15:42:17,11.54%
15:42:19,11.43%
15:42:20,4.33%
15:42:21,15.58%
15:42:23,2.11%
15:42:24,13.74%
15:42:25,11.58%
15:42:27,4.97%
15:42:28,15.24%
15:42:29,2.68%
15:42:30,12.85%
15:42:32,11.7%
15:42:33,6.71%
15:42:34,15.02%
15:42:36,0.39%
15:42:37,15.23%
15:42:38,7.05%
15:42:40,8.43%
15:42:41,14.11%
15:42:42,1.76%
15:42:43,14.63%
15:42:45,5.08%
15:42:46,10.21%
15:42:47,15.2%
15:42:49,3.49%
15:42:50,15.24%
15:42:51,1.17%
15:42:52,14.85%
15:42:54,7.76%
15:42:55,7.64%
15:42:56,15.9%
15:42:58,0.39%
15:42:59,15.33%
15:43:00,4.92%
15:43:02,13.19%
15:43:03,14.34%
15:43:04,1.6%
15:43:05,15.17%
15:43:07,3.76%
15:43:08,12.18%
15:43:09,10.91%
15:43:11,4.68%
15:43:12,15.14%
15:43:13,2.31%
15:43:14,13.53%
15:43:16,9.05%
15:43:17,9.21%
15:43:18,15.12%
15:43:20,0.39%
15:43:21,15.32%
15:43:22,6.7%
15:43:23,8.82%
15:43:25,15.03%
15:43:26,0.55%
15:43:27,15.26%
15:43:29,7.46%
15:43:30,8.08%
15:43:31,15.65%
15:43:32,3.04%
15:43:34,15.63%
15:43:35,6.05%
15:43:36,9.86%
15:43:38,13.42%
15:43:39,2.09%
15:43:40,14.86%
15:43:42,5.43%
15:43:43,10.51%
15:43:44,13.05%
15:43:45,1.77%
15:43:47,16.17%
15:43:48,7.46%
15:43:49,10.57%
15:43:51,13.9%
15:43:52,1.75%
15:43:53,15.38%
15:43:55,5.53%
15:43:56,9.61%
15:43:57,14.39%
15:43:58,1.18%
15:44:00,15.56%
15:44:01,4.11%
15:44:02,15.4%
15:44:04,12.21%
15:44:05,15.11%
15:44:06,15.65%
15:44:08,2.53%
15:44:09,16.89%
15:44:10,12.21%
15:44:11,4.6%
15:44:13,14.71%
15:44:14,3.98%
15:44:15,11.72%
15:44:17,11.88%
15:44:18,6.43%
15:44:19,15.23%
15:44:21,2.86%
15:44:22,12.69%
15:44:23,11.15%
15:44:25,3.71%
15:44:26,15.2%
15:44:27,5.5%
15:44:28,10.69%
15:44:30,12.77%
15:44:31,2.81%
15:44:32,17.69%
15:44:34,5.34%
15:44:35,10.25%
15:44:36,14.02%
15:44:38,0.6%
15:44:39,15.27%
15:44:40,6.57%
15:44:42,9.3%
15:44:43,14.64%
15:44:44,1.18%
15:44:45,15.23%
15:44:47,5.99%
15:44:48,11.85%
