time,down,up,down_speed,up_speed
16:22:11,0.09765625,0.05078125,0.88,0.46,
16:22:12,0.294921875,0.9873046875,0.14,0.69,
16:22:14,0.638671875,1.0380859375,0.29,0.04,
16:22:15,1.083984375,1.8271484375,0.38,0.68,
16:22:16,1.1328125,1.876953125,0.04,0.04,
16:22:17,1.1328125,1.876953125,0.0,0.0,
16:22:18,1.1328125,1.9189453125,0.0,0.04,
16:22:20,1.181640625,1.9189453125,0.04,0.0,
16:22:21,1.181640625,1.9189453125,0.0,0.0,
16:22:22,3.443359375,6.119140625,1.85,3.44,
16:22:23,314.1171875,32.177734375,272.28,22.84,
16:22:24,314.1171875,32.177734375,0.0,0.0,
16:22:25,314.166015625,32.2197265625,0.04,0.04,
16:22:27,314.166015625,32.2197265625,0.0,0.0,
16:22:28,314.33203125,32.38671875,0.14,0.15,
16:22:29,314.33203125,32.38671875,0.0,0.0,
16:22:30,314.33203125,32.4833984375,0.0,0.08,
16:22:31,314.33203125,32.4833984375,0.0,0.0,
16:22:32,1065.5673828125,52.5859375,632.89,16.94,
16:22:34,2389.005859375,73.474609375,1140.9,18.01,
