time,down,up,down_speed,up_speed
16:43:52,0.0,0.0,0.0,0.0,
16:43:54,0.36328125,0.3203125,0.29,0.26,
16:43:55,1.4921875,0.484375,0.94,0.14,
16:43:56,1.53125,0.6650390625,0.03,0.15,
16:43:57,1.53125,0.6650390625,0.0,0.0,
16:43:58,1.53125,0.6650390625,0.0,0.0,
16:44:00,1.5703125,0.845703125,0.03,0.15,
16:44:01,1.5703125,0.845703125,0.0,0.0,
16:44:02,1.7578125,1.2373046875,0.16,0.34,
16:44:03,2.01953125,2.447265625,0.22,1.03,
16:44:04,2.01953125,2.447265625,0.0,0.0,
16:44:05,2.01953125,2.447265625,0.0,0.0,
16:44:06,2.05859375,2.6279296875,0.03,0.16,
16:44:08,2.05859375,2.6279296875,0.0,0.0,
16:44:09,2.09765625,2.80859375,0.03,0.15,
16:44:10,2.09765625,2.80859375,0.0,0.0,
16:44:11,2.09765625,2.80859375,0.0,0.0,
16:44:12,2.09765625,2.80859375,0.0,0.0,
16:44:14,2.09765625,2.80859375,0.0,0.0,
16:44:15,2.09765625,2.80859375,0.0,0.0,
16:44:16,2.09765625,2.80859375,0.0,0.0,
16:44:17,2.09765625,2.80859375,0.0,0.0,
16:44:18,8.4609375,5.228515625,5.57,2.12,
16:44:19,8.63671875,5.279296875,0.15,0.04,
16:44:21,8.63671875,5.279296875,0.0,0.0,
16:44:22,9.06640625,5.443359375,0.37,0.14,
16:44:23,9.06640625,5.443359375,0.0,0.0,
16:44:24,9.06640625,5.443359375,0.0,0.0,
16:44:25,9.06640625,5.443359375,0.0,0.0,
16:44:27,9.06640625,5.443359375,0.0,0.0,
16:44:28,9.06640625,5.443359375,0.0,0.0,
16:44:29,9.123046875,5.6982421875,0.05,0.21,
16:44:30,9.123046875,5.6982421875,0.0,0.0,
16:44:31,9.123046875,5.6982421875,0.0,0.0,
16:44:33,9.123046875,6.0185546875,0.0,0.28,
16:44:34,9.630859375,7.326171875,0.43,1.1,
16:44:35,9.630859375,7.326171875,0.0,0.0,
16:44:36,9.630859375,7.326171875,0.0,0.0,
16:44:37,9.630859375,7.326171875,0.0,0.0,
16:44:38,9.630859375,7.326171875,0.0,0.0,
16:44:40,9.630859375,7.326171875,0.0,0.0,
16:44:41,9.630859375,7.326171875,0.0,0.0,
16:44:42,9.630859375,7.326171875,0.0,0.0,
16:44:43,10.060546875,7.490234375,0.37,0.14,
16:44:44,10.1416015625,7.541015625,0.07,0.04,
16:44:45,10.1416015625,7.541015625,0.0,0.0,
16:44:47,10.1416015625,7.541015625,0.0,0.0,
16:44:48,10.2705078125,7.7529296875,0.11,0.18,
16:44:49,10.3212890625,7.8037109375,0.04,0.04,
16:44:50,10.40234375,7.8544921875,0.07,0.04,
16:44:51,10.40234375,7.8544921875,0.0,0.0,
16:44:53,10.40234375,7.8544921875,0.0,0.0,
16:44:54,10.40234375,7.8544921875,0.0,0.0,
16:44:55,10.453125,7.9052734375,0.04,0.04,
