time,dalick,native,graphics,total
16:43:53,37095,26975,null,172270,
16:43:56,36475,26975,null,171363,
16:43:58,36403,26975,null,171271,
16:44:00,32879,26975,null,167643,
16:44:02,32983,26975,null,167775,
16:44:04,33039,26975,null,161244,
16:44:06,33051,26975,null,161240,
16:44:09,33051,26975,null,161240,
16:44:11,32879,26975,null,161028,
16:44:13,32891,26975,null,161048,
16:44:15,32891,26975,null,161048,
16:44:17,32891,26975,null,161048,
16:44:19,33043,26975,null,167657,
16:44:21,32851,26975,null,160009,
16:44:23,32903,26975,null,160081,
16:44:26,32903,26975,null,160085,
16:44:28,32903,26975,null,160085,
16:44:30,32915,26975,null,160109,
16:44:32,32839,26975,null,159993,
16:44:34,32999,26975,null,160997,
16:44:36,33027,26975,null,161001,
16:44:38,33031,26975,null,160985,
16:44:41,33027,26975,null,160981,
16:44:43,32839,26975,null,160745,
16:44:45,32883,26975,null,160789,
16:44:47,32903,26975,null,160821,
16:44:49,33011,26975,null,167253,
16:44:51,33019,26975,null,159881,
16:44:53,32831,26975,null,159637,
16:44:56,32843,26975,null,159657,
16:44:58,32843,26975,null,159665,
16:45:00,32843,26975,null,159665,
16:45:02,32843,26975,null,159669,
16:45:04,32959,26975,null,160505,
16:45:06,32967,26975,null,160497,
16:45:08,32967,26975,null,160497,
16:45:11,32967,26975,null,160501,
16:45:13,33047,26975,null,160593,
16:45:15,32831,26975,null,160321,
16:45:17,32843,26975,null,160341,
16:45:19,32971,26975,null,166973,
16:45:21,32979,26975,null,159601,
16:45:24,32979,26975,null,159601,
16:45:26,32823,26975,null,159393,
16:45:28,32835,26975,null,159413,
16:45:30,32927,26975,null,159545,
16:45:32,32951,26975,null,159557,
16:45:34,32971,26975,null,160429,
16:45:36,32823,26975,null,160209,
16:45:38,32951,26975,null,160385,
16:45:41,32983,26975,null,160413,
16:45:43,32983,26975,null,160409,
16:45:45,32983,26975,null,160409,
16:45:47,32823,26975,null,160205,
16:45:49,32975,26975,null,166865,
16:45:51,33007,26975,null,159517,
16:45:53,33019,26975,null,159541,
16:45:55,33019,26975,null,159541,
16:45:58,33019,26975,null,159517,
16:46:00,32931,26975,null,159421,
16:46:02,32931,26975,null,159425,
16:46:04,32935,26975,null,160273,
16:46:06,32931,26975,null,160261,
16:46:08,32823,26975,null,160093,
16:46:11,32847,26975,null,160133,
16:46:13,32847,26975,null,160137,
16:46:15,32847,26975,null,160141,
16:46:17,32847,26975,null,160145,
16:46:19,32823,26975,null,166665,
16:46:21,32983,26975,null,159417,
16:46:23,32991,26975,null,159437,
16:46:26,32991,26975,null,159429,
16:46:28,32991,26975,null,159428,
16:46:30,32823,26975,null,159201,
16:46:32,32863,26975,null,159261,
16:46:34,32867,26975,null,160157,
16:46:36,33011,26975,null,160249,
16:46:39,33011,26975,null,160253,
16:46:41,32823,26975,null,160021,
16:46:43,32835,26975,null,160045,
16:46:45,33003,26975,null,160245,
16:46:47,32947,26975,null,160173,
16:46:49,32947,26975,null,166717,
16:46:51,32835,26975,null,159177,
16:46:54,32847,26975,null,159193,
16:46:56,32847,26975,null,159197,
16:46:58,33047,26975,null,167105,
16:47:00,34451,26975,null,170693,
16:47:03,33111,26975,null,169133,
16:47:05,38407,26987,null,176303,
16:47:07,33747,26987,null,164532,
16:47:09,33747,26987,null,164532,
16:47:11,33747,26987,null,164528,
16:47:13,32219,26987,null,162876,
16:47:16,32231,26987,null,162892,
16:47:18,32231,26987,null,162896,
16:47:20,32231,26987,null,162900,
16:47:22,32355,26987,null,162108,
16:47:24,32219,26987,null,161924,
16:47:26,32231,26987,null,161944,
16:47:28,32255,26987,null,161992,
16:47:31,32271,26987,null,162008,
16:47:33,32271,26987,null,162008,
16:47:35,32219,26987,null,161920,
16:47:37,32407,26987,null,162868,
16:47:39,32407,26987,null,162864,
16:47:41,32411,26987,null,162876,
16:47:43,32407,26987,null,162868,
16:47:46,32219,26987,null,162632,
16:47:48,32231,26987,null,162652,
16:47:50,32419,26987,null,162888,
16:47:52,32379,26987,null,161924,
16:47:54,32379,26987,null,161920,
16:47:56,32219,26987,null,161700,
16:47:59,32231,26987,null,161720,
16:48:01,32231,26987,null,161724,
16:48:03,32231,26987,null,161728,
16:48:05,32231,26987,null,161700,
16:48:07,32231,26987,null,162392,
16:48:09,32283,26987,null,162476,
16:48:11,32367,26987,null,162576,
16:48:14,32363,26987,null,162568,
16:48:16,32363,26987,null,162568,
16:48:18,32215,26987,null,162376,
16:48:20,32375,26987,null,162572,
16:48:22,32359,26987,null,161632,
16:48:24,32359,26987,null,161628,
16:48:26,32359,26987,null,161628,
16:48:29,32207,26987,null,161416,
16:48:31,32323,26987,null,161568,
16:48:33,32351,26987,null,161592,
16:48:35,32351,26987,null,161592,
16:48:37,32375,26987,null,162448,
16:48:39,32207,26987,null,162212,
16:48:41,32247,26987,null,162272,
16:48:43,32243,26987,null,162272,
16:48:46,32243,26987,null,162272,
16:48:48,32243,26987,null,162272,
16:48:50,32183,26987,null,162188,
16:48:52,32323,26987,null,168728,
16:48:54,32331,26987,null,161356,
16:48:56,32331,26987,null,161356,
16:48:58,32331,26987,null,161356,
16:49:00,32183,26987,null,161160,
16:49:03,33319,26987,null,169588,
16:49:05,32835,26987,null,169048,
16:49:07,39451,27035,null,181438,
16:49:11,37471,59523,null,230489,
16:49:13,35671,29999,null,171458,
16:49:16,41939,27707,null,183912,
16:49:20,42875,28306,null,189003,
16:49:23,37395,35298,null,205697,
16:49:26,37379,28762,null,168715,
16:49:28,39727,28762,null,182016,
