time,cpu
16:43:52,0.7%
16:43:54,16.89%
16:43:55,1.61%
16:43:56,15.42%
16:43:58,7.3%
16:43:59,8.69%
16:44:00,14.63%
16:44:01,0.99%
16:44:03,17.98%
16:44:04,9.34%
16:44:05,5.89%
16:44:07,15.04%
16:44:08,0.78%
16:44:09,15.63%
16:44:10,8.08%
16:44:12,7.56%
16:44:13,15.35%
16:44:14,1.78%
16:44:16,14.09%
16:44:17,10.67%
16:44:18,8.15%
16:44:20,15.75%
16:44:21,4.53%
16:44:22,11.21%
16:44:24,13.57%
16:44:25,1.55%
16:44:26,14.76%
16:44:27,7.08%
16:44:29,8.22%
16:44:30,15.07%
16:44:31,0.39%
16:44:33,17.59%
16:44:34,9.66%
16:44:35,6.67%
16:44:37,15.32%
16:44:38,1.58%
16:44:39,13.61%
16:44:40,10.0%
16:44:42,5.06%
16:44:43,15.85%
16:44:44,3.46%
16:44:46,12.32%
16:44:47,12.8%
16:44:48,6.06%
16:44:49,15.49%
16:44:51,4.4%
16:44:52,11.59%
16:44:53,11.57%
16:44:55,3.59%
16:44:56,15.02%
16:44:57,3.54%
16:44:59,11.56%
16:45:00,13.27%
16:45:01,2.65%
16:45:03,14.73%
16:45:04,8.96%
16:45:05,8.77%
16:45:06,15.25%
16:45:08,0.19%
16:45:09,15.18%
16:45:10,7.17%
16:45:12,9.34%
16:45:13,15.2%
16:45:14,0.57%
16:45:15,15.45%
16:45:17,5.19%
16:45:18,13.02%
16:45:19,14.72%
16:45:21,0.99%
16:45:22,15.08%
16:45:23,6.25%
16:45:24,9.3%
16:45:26,14.62%
16:45:27,0.98%
16:45:28,14.47%
16:45:30,9.3%
16:45:31,7.25%
16:45:32,14.39%
16:45:34,4.48%
16:45:35,13.81%
16:45:36,10.37%
16:45:37,5.78%
16:45:39,16.6%
16:45:40,4.54%
16:45:41,10.7%
16:45:43,14.01%
16:45:44,0.77%
16:45:45,15.32%
16:45:47,7.26%
16:45:48,8.18%
16:45:49,18.48%
16:45:51,1.17%
16:45:52,15.74%
16:45:53,7.32%
16:45:54,8.25%
16:45:56,14.95%
16:45:57,1.35%
16:45:58,14.79%
16:46:00,8.43%
16:46:01,6.99%
16:46:02,14.63%
16:46:03,2.34%
16:46:05,14.88%
16:46:06,10.27%
16:46:08,4.92%
16:46:09,15.18%
16:46:10,4.14%
16:46:11,10.86%
16:46:13,14.52%
16:46:14,0.39%
16:46:15,15.58%
16:46:17,7.03%
16:46:18,8.39%
16:46:19,16.48%
16:46:21,0.58%
16:46:22,15.09%
16:46:23,9.09%
16:46:24,6.98%
16:46:26,15.45%
16:46:27,0.39%
16:46:28,15.41%
16:46:30,8.09%
16:46:31,7.18%
16:46:32,14.82%
16:46:34,1.93%
16:46:35,16.69%
16:46:36,7.29%
16:46:37,8.23%
16:46:39,15.31%
16:46:40,0.19%
16:46:41,15.32%
16:46:43,8.98%
16:46:44,7.43%
16:46:45,15.22%
16:46:47,0.19%
16:46:48,15.35%
16:46:49,9.3%
16:46:50,8.39%
16:46:52,15.26%
16:46:53,0.59%
16:46:54,15.03%
16:46:55,7.53%
16:46:57,7.87%
16:46:58,26.07%
16:46:59,20.51%
16:47:01,18.41%
16:47:02,3.71%
16:47:03,23.21%
16:47:05,23.65%
16:47:06,6.74%
16:47:07,15.08%
16:47:09,1.53%
16:47:10,13.84%
16:47:11,9.72%
16:47:12,6.09%
16:47:14,14.47%
16:47:15,0.78%
16:47:16,14.97%
16:47:18,8.86%
16:47:19,6.36%
16:47:20,17.34%
16:47:21,0.39%
16:47:23,14.39%
16:47:24,8.85%
16:47:25,6.37%
16:47:27,14.86%
16:47:28,2.75%
16:47:29,13.43%
16:47:30,9.82%
16:47:32,5.37%
16:47:33,14.66%
16:47:34,2.92%
16:47:36,14.78%
16:47:37,8.78%
16:47:38,6.73%
16:47:39,14.72%
16:47:41,1.56%
16:47:42,14.08%
16:47:43,9.92%
16:47:45,5.11%
16:47:46,14.69%
16:47:47,3.73%
16:47:49,11.98%
16:47:50,14.42%
16:47:51,4.64%
16:47:52,15.11%
16:47:54,3.35%
16:47:55,12.05%
16:47:56,10.93%
16:47:58,4.08%
16:47:59,14.07%
16:48:00,4.74%
16:48:02,10.71%
16:48:03,13.71%
16:48:04,1.75%
16:48:05,16.06%
16:48:07,5.16%
16:48:08,10.03%
16:48:09,15.6%
16:48:11,1.16%
16:48:12,14.04%
16:48:13,7.45%
16:48:15,7.69%
16:48:16,14.8%
16:48:17,1.18%
16:48:18,14.47%
16:48:20,9.68%
16:48:21,7.54%
16:48:23,14.23%
16:48:24,4.64%
16:48:25,10.62%
16:48:26,11.84%
