time,cpu
20:57:25,0.0%
20:57:26,0.66%
20:57:27,0.6%
20:57:29,0.57%
20:57:30,0.57%
20:57:31,0.73%
20:57:33,0.56%
20:57:34,0.65%
20:57:35,0.6%
20:57:37,0.64%
20:57:38,0.54%
20:57:40,0.73%
20:57:41,10.28%
20:57:42,27.25%
20:57:44,21.38%
20:57:45,20.74%
20:57:46,21.67%
20:57:48,18.99%
20:57:49,17.19%
20:57:50,17.1%
20:57:52,17.24%
20:57:53,15.05%
20:57:54,18.42%
20:57:56,17.53%
20:57:57,17.51%
20:57:58,16.84%
20:58:00,20.0%
20:58:01,1.14%
20:58:02,1.23%
20:58:04,1.04%
20:58:05,1.67%
20:58:06,0.47%
20:58:08,2.69%
20:58:09,2.06%
20:58:10,2.27%
20:58:12,2.6%
20:58:13,1.28%
20:58:15,1.37%
20:58:16,5.3%
20:58:18,0.67%
20:58:19,1.04%
20:58:21,0.99%
20:58:22,1.76%
20:58:24,1.59%
20:58:25,1.65%
20:58:26,1.64%
20:58:28,0.84%
20:58:29,1.1%
20:58:30,1.43%
20:58:32,16.36%
20:58:33,21.53%
20:58:34,20.95%
20:58:36,13.2%
20:58:37,14.86%
20:58:38,17.55%
20:58:40,17.62%
20:58:41,17.66%
20:58:42,17.44%
20:58:44,17.9%
20:58:45,15.81%
20:58:46,14.34%
20:58:48,23.66%
20:58:49,1.74%
20:58:50,1.15%
20:58:52,1.34%
20:58:53,0.38%
20:58:54,1.96%
20:58:56,1.89%
20:58:57,2.1%
20:58:58,1.77%
20:59:00,1.94%
20:59:01,1.69%
20:59:03,3.68%
20:59:04,1.49%
20:59:05,0.57%
20:59:07,1.56%
20:59:08,1.03%
20:59:09,1.42%
20:59:11,1.49%
20:59:12,1.48%
20:59:13,1.17%
20:59:15,1.21%
20:59:16,0.55%
20:59:17,4.31%
20:59:19,17.71%
20:59:20,6.29%
