time,dalick,native,graphics,total
20:57:25,7649,24791,57312,126305,
20:57:26,4177,24467,57312,122626,
20:57:27,4073,24467,57312,122518,
20:57:29,4073,24471,57312,123122,
20:57:30,4069,24471,57312,123122,
20:57:31,4069,24471,57312,123122,
20:57:33,4073,24467,57312,123082,
20:57:34,4073,23943,57312,122542,
20:57:36,4061,23943,57312,122534,
20:57:37,4061,23943,57312,122534,
20:57:38,4065,23943,57312,122542,
20:57:40,4065,23583,57312,122267,
20:57:41,13539,33861,90248,187415,
20:57:42,8055,60017,102156,218927,
20:57:44,7839,62069,102156,220851,
20:57:45,7795,63353,102156,222051,
20:57:47,9599,66385,111344,236355,
20:57:48,7727,66353,112152,235259,
20:57:50,7703,66549,112152,235423,
20:57:51,7783,66245,112152,235215,
20:57:53,7687,65865,112152,234703,
20:57:55,7703,65681,112152,234419,
20:57:56,7703,65581,112152,234323,
20:57:58,7671,65381,112152,234074,
20:57:59,16099,80413,106856,255229,
20:58:01,7031,66737,72852,198237,
20:58:02,6743,66745,72852,197955,
20:58:03,6671,66357,72852,197487,
20:58:05,6675,66357,72852,197495,
20:58:07,6695,64557,72852,195719,
20:58:08,6731,65037,72852,195611,
20:58:10,6667,65037,72852,195527,
20:58:11,6731,65037,72852,195595,
20:58:13,6663,65037,72852,195527,
20:58:15,6667,65037,72852,195531,
20:58:16,9275,63021,54893,178986,
20:58:18,6383,48989,54893,161400,
20:58:20,6071,39841,54893,151936,
20:58:21,6083,39841,54893,151944,
20:58:23,6023,39841,54893,151880,
20:58:24,6023,39821,54893,151768,
20:58:26,6019,39821,54893,151760,
20:58:28,6019,39821,54893,151760,
20:58:29,6019,39821,54893,151760,
20:58:31,6031,39805,54893,151760,
20:58:32,12375,67677,101296,232761,
20:58:33,8535,68181,101296,229389,
20:58:35,10055,70517,110484,242441,
20:58:36,8075,70589,110484,240521,
20:58:38,8047,70673,111292,241385,
20:58:40,8095,70465,111292,241221,
20:58:41,8103,70537,110484,240473,
20:58:43,8071,70365,111292,241077,
20:58:44,8043,70277,111292,240961,
20:58:46,8055,70221,111292,240861,
20:58:47,12567,93469,103338,260578,
20:58:48,8595,83165,72972,216357,
20:58:50,6839,70589,72876,201917,
20:58:51,6495,70221,72876,201197,
20:58:53,6387,70221,72876,201093,
20:58:55,6359,70221,72876,201061,
20:58:56,6363,70221,72876,201073,
20:58:58,6359,70221,72876,201049,
20:58:59,6371,69413,72876,200173,
20:59:01,6359,69385,72876,200133,
20:59:03,8775,70553,63921,195528,
20:59:04,6067,56285,55281,169210,
20:59:05,5711,41281,55281,153846,
20:59:07,5683,41281,55281,153822,
20:59:08,5675,41177,55281,153702,
20:59:10,5671,41177,55281,153698,
20:59:11,5667,41177,55281,153694,
20:59:13,5699,41177,55281,153734,
20:59:15,5667,41177,55281,153698,
20:59:16,5667,41177,55281,153694,
20:59:17,6719,42533,78200,179428,
20:59:19,11535,60866,99424,224282,
20:59:20,7075,60682,99424,219594,
20:59:22,4829,6461,0,35156,
20:59:23,1976,6577,0,32875,
20:59:24,2196,6649,0,33521,
20:59:26,2044,6653,0,33793,
20:59:27,1828,6653,0,33516,
20:59:29,1828,6653,0,33520,
20:59:30,1828,6657,0,33524,
20:59:31,1836,6641,0,33464,
20:59:33,null,null,null,null,
