time,cpu
17:49:29,0.0%
17:49:30,38.34%
17:49:31,27.34%
17:49:33,18.32%
17:49:34,6.84%
17:49:35,6.6%
17:49:36,7.35%
17:49:38,9.09%
17:49:39,7.46%
17:49:40,20.53%
17:49:41,40.96%
17:49:43,10.37%
17:49:44,8.53%
17:49:45,3.9%
17:49:47,9.18%
17:49:48,9.05%
17:49:49,10.26%
17:49:50,16.84%
17:49:52,33.52%
17:49:53,39.08%
17:49:54,34.6%
17:49:56,28.9%
17:49:57,37.01%
17:49:58,23.39%
17:49:59,22.03%
17:50:01,18.3%
17:50:02,26.21%
17:50:03,23.66%
17:50:05,23.06%
17:50:06,23.01%
17:50:07,26.65%
17:50:08,32.09%
17:50:10,31.75%
17:50:11,30.09%
17:50:12,31.13%
17:50:13,28.83%
17:50:15,22.54%
17:50:16,31.17%
17:50:17,25.0%
17:50:19,27.23%
17:50:20,22.26%
17:50:21,20.49%
17:50:22,23.15%
17:50:24,21.0%
17:50:25,22.58%
17:50:26,18.94%
17:50:27,24.84%
17:50:29,22.56%
17:50:30,25.36%
