time,down,up,down_speed,up_speed
17:49:29,0.30078125,2.1474609375,2.35,16.78,
17:49:30,2.1650390625,11.1435546875,1.48,7.16,
17:49:31,9.013671875,17.607421875,5.81,5.48,
17:49:32,9.505859375,18.791015625,0.41,0.98,
17:49:33,9.5546875,18.8330078125,0.04,0.03,
17:49:35,9.603515625,18.8828125,0.04,0.04,
17:49:36,9.603515625,18.8828125,0.0,0.0,
17:49:37,10.115234375,19.138671875,0.44,0.22,
17:49:38,10.115234375,19.138671875,0.0,0.0,
17:49:39,10.1640625,19.5009765625,0.04,0.32,
17:49:40,11.859375,23.376953125,1.42,3.24,
17:49:42,188.8544921875,43.4140625,153.91,17.42,
17:49:43,188.9033203125,43.4638671875,0.04,0.04,
17:49:44,188.9521484375,43.505859375,0.04,0.04,
17:49:45,189.0009765625,43.5478515625,0.04,0.03,
17:49:46,189.1435546875,43.69140625,0.12,0.12,
17:49:47,189.1435546875,43.73046875,0.0,0.03,
17:49:49,189.1923828125,43.7802734375,0.04,0.04,
17:49:50,193.5078125,50.755859375,3.67,5.94,
17:49:51,663.7529296875,62.8671875,403.3,10.39,
17:49:52,2046.623046875,83.9052734375,1181.94,17.98,
17:49:53,3444.904296875,105.3603515625,1229.8,18.87,
17:49:54,4145.4306640625,117.49609375,592.66,10.27,
17:49:56,5023.994140625,147.8447265625,767.3,26.51,
17:49:57,5764.724609375,173.60546875,621.42,21.61,
17:49:58,5764.7734375,173.6474609375,0.04,0.04,
17:49:59,5764.7734375,173.6474609375,0.0,0.0,
17:50:00,5764.7734375,173.6474609375,0.0,0.0,
17:50:01,5765.013671875,174.0341796875,0.21,0.33,
17:50:03,5765.013671875,174.0341796875,0.0,0.0,
17:50:04,5765.013671875,174.076171875,0.0,0.03,
17:50:05,5765.1015625,174.4287109375,0.08,0.31,
17:50:06,5765.73828125,174.9091796875,0.52,0.4,
17:50:07,5785.861328125,179.3896484375,17.53,3.9,
17:50:08,7147.087890625,205.216796875,1204.63,22.86,
17:50:10,8524.732421875,224.775390625,1205.29,17.11,
17:50:11,9922.029296875,246.517578125,1237.64,19.26,
17:50:12,11346.978515625,270.939453125,1201.47,20.59,
17:50:13,12775.20703125,294.8984375,1212.42,20.34,
17:50:14,14302.23828125,323.369140625,1294.09,24.13,
17:50:16,14929.978515625,334.9482421875,487.0,8.98,
17:50:17,15204.634765625,339.8740234375,233.75,4.19,
17:50:18,16103.1552734375,363.953125,773.25,20.72,
17:50:19,16702.7177734375,378.330078125,521.36,12.5,
17:50:20,16756.9677734375,379.42578125,46.85,0.95,
17:50:21,16757.0615234375,379.51953125,0.08,0.08,
17:50:23,16757.0615234375,379.51953125,0.0,0.0,
17:50:24,16757.0615234375,379.51953125,0.0,0.0,
17:50:25,16757.0615234375,379.51953125,0.0,0.0,
17:50:26,16757.1748046875,379.671875,0.1,0.13,
17:50:27,16757.1748046875,379.671875,0.0,0.0,
17:50:28,16757.3369140625,379.7734375,0.14,0.09,
17:50:30,16757.662109375,383.7724609375,0.27,3.29,
