time,dalick,native,graphics,total
17:49:29,24703,17187,63652,192803,
17:49:31,25121,22611,65976,243150,
17:49:32,28349,23927,67036,252722,
17:49:34,23113,23695,66648,245398,
17:49:35,23113,23715,66648,246078,
17:49:37,21965,23683,66648,244850,
17:49:38,22593,23863,66652,246996,
17:49:41,24009,24099,79516,265476,
17:49:42,47160,27685,82248,306092,
17:49:44,47164,27681,82248,305964,
17:49:46,47164,27677,82248,305964,
17:49:47,47172,27677,82248,305972,
17:49:49,46868,27161,82248,305152,
17:49:51,48276,29229,96020,324650,
17:49:52,49928,52357,157868,411766,
17:49:54,48348,54793,158276,413224,
17:49:56,49671,30613,95268,326530,
17:49:58,81659,30749,105628,373608,
17:49:59,60059,30693,105628,351860,
17:50:01,60095,30653,105628,351852,
17:50:03,60131,30633,105628,351868,
17:50:04,60131,30577,105628,351776,
17:50:06,60055,30593,105628,351696,
17:50:08,62703,31965,104640,354642,
17:50:09,50783,55057,164328,423984,
17:50:11,49151,57429,164376,423868,
17:50:13,48815,57901,164388,423020,
17:50:15,48815,58073,164392,423202,
17:50:17,48803,57985,164400,423144,
17:50:18,48839,58553,164404,423764,
17:50:20,60907,32109,110440,354663,
17:50:21,60875,32117,110580,354863,
17:50:23,60131,32065,110580,354059,
17:50:25,60143,32065,110580,354075,
17:50:26,60171,32029,110580,354071,
17:50:28,60179,31961,110732,354105,
17:50:30,60107,31889,110732,353853,
