time,cpu
16:59:13,0.0%
16:59:14,41.97%
16:59:15,33.12%
16:59:16,25.05%
16:59:18,14.25%
16:59:19,18.29%
16:59:20,15.08%
16:59:21,8.48%
16:59:23,19.21%
16:59:24,18.23%
16:59:25,13.16%
16:59:27,4.95%
16:59:28,2.03%
16:59:29,1.95%
16:59:30,7.67%
16:59:32,7.08%
16:59:33,6.45%
16:59:34,34.46%
16:59:36,34.9%
16:59:37,39.11%
16:59:38,35.84%
16:59:39,34.65%
16:59:41,32.08%
16:59:42,36.65%
16:59:43,36.32%
16:59:44,35.8%
16:59:46,36.34%
16:59:47,35.35%
16:59:48,32.99%
16:59:50,37.22%
16:59:51,26.52%
16:59:52,36.87%
16:59:53,33.88%
16:59:54,33.9%
16:59:56,33.73%
16:59:57,32.21%
16:59:58,34.86%
16:59:59,32.67%
17:00:01,33.0%
17:00:02,34.57%
17:00:03,30.5%
17:00:05,35.91%
17:00:06,33.81%
