key,Pcp0:com.imo.android.imoimalpha
alias,PCP0
unit,(%)
begin date,2019-07-01
end date,2019-07-01
count,25

min,0.0%
max,2.09%
avg,0.08%

15:22:58.448,0.0%
15:22:59.531,0.0%
15:23:00.579,0.0%
15:23:01.655,0.0%
15:23:02.836,0.0%
15:23:04.075,0.0%
15:23:05.288,0.0%
15:23:06.488,2.09%
15:23:07.680,0.0%
15:23:08.831,0.0%
15:23:10.051,0.0%
15:23:11.205,0.0%
15:23:12.433,0.0%
15:23:13.629,0.0%
15:23:14.797,0.0%
15:23:16.005,0.0%
15:23:17.183,0.0%
15:23:18.323,0.0%
15:23:19.449,0.0%
15:23:20.637,0.0%
15:23:21.862,0.0%
15:23:23.069,0.0%
15:23:24.260,0.0%
15:23:25.449,0.0%
15:23:26.579,0.0%
