time,down,up,down_speed,up_speed
17:02:14,0.6484375,0.05078125,5.4,0.42,
17:02:15,23.48828125,4.830078125,18.32,3.83,
17:02:16,24.181640625,6.6962890625,0.61,1.64,
17:02:17,25.462890625,8.3916015625,1.13,1.5,
17:02:19,25.462890625,8.44140625,0.0,0.04,
17:02:20,25.51171875,8.44140625,0.04,0.0,
17:02:21,25.51171875,8.44140625,0.0,0.0,
17:02:22,25.974609375,8.6474609375,0.4,0.18,
17:02:23,25.974609375,8.6474609375,0.0,0.0,
17:02:24,25.974609375,10.412109375,0.0,1.55,
17:02:25,38.7841796875,16.2587890625,10.94,4.99,
17:02:27,317.146484375,38.5078125,245.69,19.64,
17:02:28,317.1953125,38.5498046875,0.04,0.03,
17:02:29,317.1953125,38.5498046875,0.0,0.0,
17:02:30,317.1953125,38.5498046875,0.0,0.0,
17:02:31,317.361328125,38.716796875,0.14,0.14,
17:02:32,317.361328125,38.716796875,0.0,0.0,
17:02:34,317.361328125,40.1630859375,0.0,1.27,
17:02:35,319.8291015625,45.2734375,2.18,4.51,
17:02:36,1337.04296875,65.6484375,887.62,17.78,
