time,dalick,native,graphics,total
17:02:14,23535,15613,78956,202450,
17:02:16,24631,21745,81720,257680,
17:02:17,23055,22673,82688,259784,
17:02:19,22291,22261,82040,255337,
17:02:20,22291,22261,82040,255341,
17:02:22,22771,22337,82008,258429,
17:02:23,21383,22417,81812,252895,
17:02:26,25235,24343,78832,261704,
17:02:27,53271,27103,91840,313930,
17:02:29,48531,27107,91840,309026,
17:02:31,48551,27111,91840,309086,
17:02:32,48599,27111,91840,309110,
17:02:34,48599,26595,91840,308604,
17:02:35,50487,28311,123260,344919,
17:02:37,481,606,0,5311,
