time,cpu
19:42:41,0.0%
19:42:43,40.71%
19:42:44,23.56%
19:42:45,20.2%
19:42:46,7.24%
19:42:48,5.56%
19:42:49,7.78%
19:42:50,7.7%
19:42:51,15.19%
19:42:53,36.28%
19:42:54,27.34%
19:42:55,9.0%
19:42:57,8.64%
19:42:58,7.01%
19:42:59,9.07%
19:43:00,8.58%
19:43:02,8.71%
19:43:03,22.77%
19:43:04,31.43%
19:43:06,32.12%
19:43:07,24.48%
19:43:08,32.6%
19:43:09,19.46%
19:43:11,21.37%
19:43:12,23.25%
19:43:13,22.97%
19:43:15,18.85%
19:43:16,21.58%
19:43:17,24.31%
19:43:18,21.28%
19:43:20,35.0%
19:43:21,28.77%
19:43:22,32.78%
19:43:24,32.1%
19:43:25,27.09%
19:43:26,19.83%
19:43:27,20.6%
19:43:29,23.72%
19:43:30,22.4%
19:43:31,21.31%
19:43:32,23.77%
19:43:34,21.69%
19:43:35,15.98%
19:43:36,34.01%
19:43:38,23.37%
19:43:39,32.28%
19:43:40,29.97%
19:43:41,31.09%
19:43:43,18.12%
19:43:44,21.01%
19:43:45,20.92%
19:43:46,22.4%
19:43:48,23.12%
19:43:49,24.51%
19:43:50,21.2%
19:43:51,22.24%
19:43:53,33.19%
19:43:54,25.62%
19:43:55,25.09%
19:43:57,31.58%
19:43:58,31.79%
19:43:59,22.18%
19:44:00,23.52%
19:44:02,20.21%
19:44:03,22.31%
19:44:04,22.13%
19:44:05,18.14%
19:44:07,23.29%
19:44:08,20.79%
19:44:09,24.2%
19:44:11,39.47%
19:44:12,31.31%
19:44:13,31.73%
19:44:14,32.52%
19:44:16,25.1%
19:44:17,22.61%
19:44:18,20.74%
19:44:19,24.28%
19:44:21,23.63%
19:44:22,24.79%
19:44:23,21.72%
19:44:25,21.25%
19:44:26,21.07%
19:44:27,39.33%
19:44:28,27.38%
19:44:30,33.12%
19:44:31,32.59%
19:44:32,30.27%
19:44:33,21.71%
19:44:35,20.89%
19:44:36,22.24%
19:44:37,20.19%
19:44:39,23.49%
19:44:40,25.31%
19:44:41,25.84%
19:44:42,22.69%
19:44:44,28.51%
19:44:45,38.11%
19:44:46,33.82%
19:44:47,28.85%
19:44:49,29.66%
19:44:50,25.76%
19:44:51,22.7%
19:44:52,22.31%
19:44:54,25.09%
19:44:55,24.27%
19:44:56,22.44%
19:44:57,21.57%
19:44:59,24.14%
19:45:00,26.11%
19:45:01,30.78%
19:45:02,32.93%
19:45:04,34.51%
19:45:05,32.15%
19:45:06,24.74%
19:45:07,23.13%
19:45:09,22.11%
19:45:10,24.73%
19:45:11,21.21%
19:45:13,26.22%
19:45:14,24.89%
19:45:15,23.81%
19:45:16,22.08%
19:45:18,25.71%
19:45:19,37.69%
19:45:20,30.28%
19:45:22,30.76%
19:45:23,34.31%
19:45:24,27.53%
19:45:25,24.16%
19:45:27,24.2%
19:45:28,23.27%
19:45:29,25.97%
19:45:30,21.03%
19:45:32,26.18%
19:45:33,24.75%
19:45:34,26.28%
19:45:36,30.19%
19:45:37,33.93%
19:45:38,30.18%
19:45:39,31.19%
19:45:41,24.84%
19:45:42,25.15%
19:45:43,24.1%
19:45:45,20.75%
19:45:46,26.44%
19:45:47,24.2%
19:45:48,22.03%
19:45:50,21.86%
19:45:51,25.36%
19:45:52,41.77%
19:45:53,28.04%
19:45:55,32.47%
19:45:56,32.66%
19:45:57,28.71%
19:45:59,21.14%
19:46:00,24.17%
19:46:01,25.91%
19:46:02,19.7%
19:46:04,25.3%
19:46:05,25.25%
19:46:06,22.22%
19:46:07,25.56%
19:46:09,26.9%
19:46:10,37.86%
19:46:11,28.63%
19:46:13,37.24%
19:46:14,33.67%
19:46:15,21.9%
19:46:16,22.35%
19:46:18,25.44%
19:46:19,21.93%
19:46:20,21.07%
19:46:22,26.48%
19:46:23,24.45%
19:46:24,22.75%
19:46:25,21.53%
19:46:27,39.0%
19:46:28,34.27%
19:46:29,27.27%
19:46:30,33.66%
19:46:32,28.18%
19:46:33,20.88%
19:46:34,25.04%
19:46:36,22.83%
19:46:37,21.05%
19:46:38,25.49%
19:46:39,25.51%
19:46:41,25.65%
19:46:42,24.94%
19:46:43,38.35%
19:46:44,29.92%
19:46:46,34.14%
19:46:47,37.63%
19:46:48,30.34%
19:46:50,18.2%
19:46:51,24.06%
19:46:52,26.45%
19:46:53,22.08%
19:46:55,25.97%
19:46:56,25.83%
19:46:57,20.0%
19:46:58,28.43%
19:47:00,38.94%
19:47:01,25.52%
19:47:02,34.56%
19:47:03,35.08%
19:47:05,23.45%
19:47:06,27.76%
19:47:07,25.0%
19:47:09,21.44%
19:47:10,23.58%
19:47:11,27.25%
19:47:12,21.7%
19:47:14,28.48%
19:47:15,25.82%
19:47:16,23.69%
19:47:18,40.54%
19:47:19,34.98%
19:47:20,27.41%
19:47:22,28.34%
19:47:23,28.94%
19:47:24,25.95%
19:47:25,22.48%
19:47:27,27.73%
19:47:28,24.3%
19:47:29,22.89%
19:47:31,25.19%
19:47:32,26.82%
19:47:33,31.15%
19:47:34,39.62%
19:47:36,33.33%
19:47:37,32.34%
19:47:38,32.87%
19:47:40,26.48%
19:47:43,21.71%
19:47:44,28.17%
19:47:45,25.71%
19:47:47,22.96%
19:47:48,27.13%
19:47:49,25.52%
19:47:50,34.5%
19:47:52,34.66%
19:47:53,36.21%
19:47:54,32.28%
19:47:56,35.95%
19:47:57,20.63%
19:47:58,21.61%
19:47:59,28.23%
19:48:01,24.48%
19:48:02,21.97%
19:48:03,25.96%
19:48:04,23.15%
19:48:06,24.37%
19:48:07,41.58%
19:48:08,25.1%
19:48:10,36.01%
19:48:11,35.18%
19:48:12,25.98%
19:48:13,30.19%
19:48:15,25.61%
19:48:16,23.36%
19:48:17,28.33%
19:48:18,23.2%
