time,down,up,down_speed,up_speed
19:44:33,4893.48046875,175.4951171875,14.71,1.65,
19:44:34,4893.48046875,175.4951171875,0.0,0.0,
19:44:35,4893.48046875,175.4951171875,0.0,0.0,
19:44:36,4893.48046875,175.4951171875,0.0,0.0,
19:44:37,4893.48046875,175.4951171875,0.0,0.0,
19:44:38,4893.59375,175.6474609375,0.1,0.13,
19:44:40,4893.65234375,176.064453125,0.05,0.35,
19:44:41,4900.015625,178.326171875,5.5,1.96,
19:44:42,4900.015625,178.326171875,0.0,0.0,
19:44:43,4900.0703125,178.419921875,0.05,0.08,
19:44:44,4902.166015625,181.8125,1.78,2.88,
19:44:45,4902.166015625,181.8125,0.0,0.0,
19:44:47,4902.166015625,181.8125,0.0,0.0,
19:44:48,4902.318359375,181.96484375,0.13,0.13,
19:44:49,4918.732421875,184.259765625,14.47,2.02,
19:44:50,4918.732421875,184.259765625,0.0,0.0,
19:44:51,4918.732421875,184.259765625,0.0,0.0,
19:44:52,4918.732421875,184.259765625,0.0,0.0,
19:44:54,4918.826171875,184.353515625,0.08,0.08,
19:44:55,4918.826171875,184.353515625,0.0,0.0,
19:44:56,4918.826171875,184.353515625,0.0,0.0,
19:44:57,4918.826171875,184.353515625,0.0,0.0,
19:44:58,4919.482421875,185.060546875,0.54,0.58,
19:44:59,4919.482421875,185.060546875,0.0,0.0,
19:45:01,4921.1884765625,188.26953125,1.49,2.81,
19:45:02,4921.6796875,188.5859375,0.43,0.28,
19:45:03,4921.7734375,188.6796875,0.08,0.08,
19:45:04,4921.7734375,188.6796875,0.0,0.0,
19:45:05,4921.7734375,188.6796875,0.0,0.0,
19:45:06,4938.1875,191.130859375,14.59,2.18,
19:45:07,4938.1875,191.130859375,0.0,0.0,
19:45:09,4938.2421875,191.224609375,0.05,0.08,
19:45:10,4938.2421875,191.224609375,0.0,0.0,
19:45:11,4938.3232421875,191.275390625,0.07,0.04,
19:45:12,4938.3232421875,191.275390625,0.0,0.0,
19:45:13,4938.4365234375,191.427734375,0.1,0.13,
19:45:15,4938.4365234375,191.427734375,0.0,0.0,
19:45:16,4938.4365234375,191.427734375,0.0,0.0,
19:45:17,4938.4873046875,191.478515625,0.04,0.04,
19:45:18,4940.3330078125,194.609375,1.6,2.72,
19:45:19,4940.4814453125,194.66015625,0.13,0.05,
19:45:20,4940.4814453125,194.66015625,0.0,0.0,
19:45:21,4940.4814453125,194.66015625,0.0,0.0,
19:45:23,4940.9462890625,195.21484375,0.41,0.49,
19:45:24,4957.5126953125,197.544921875,14.37,2.02,
19:45:25,4957.5126953125,197.544921875,0.0,0.0,
19:45:26,4957.5126953125,197.544921875,0.0,0.0,
19:45:27,4957.5126953125,197.544921875,0.0,0.0,
19:45:28,4957.5673828125,197.638671875,0.05,0.08,
19:45:30,4957.5673828125,197.638671875,0.0,0.0,
19:45:31,4957.5673828125,197.638671875,0.0,0.0,
19:45:32,4957.5673828125,197.638671875,0.0,0.0,
19:45:33,4957.6806640625,197.791015625,0.1,0.13,
19:45:34,4957.78515625,197.89453125,0.09,0.09,
19:45:35,4959.5810546875,200.87890625,1.5,2.5,
19:45:37,4959.5810546875,200.87890625,0.0,0.0,
19:45:38,4959.6748046875,200.97265625,0.08,0.08,
19:45:39,4959.7255859375,201.1953125,0.04,0.19,
19:45:40,4976.578125,203.9697265625,14.04,2.31,
19:45:41,4976.578125,203.9697265625,0.0,0.0,
19:45:42,4976.578125,203.9697265625,0.0,0.0,
19:45:44,4976.6328125,204.0634765625,0.05,0.08,
19:45:45,4976.6328125,204.0634765625,0.0,0.0,
19:45:46,4976.6328125,204.0634765625,0.0,0.0,
19:45:47,4977.09765625,204.6181640625,0.39,0.46,
19:45:48,4977.2109375,204.7705078125,0.1,0.13,
19:45:49,4977.2109375,204.7705078125,0.0,0.0,
19:45:51,4977.2109375,204.7705078125,0.0,0.0,
19:45:52,4978.951171875,208.1318359375,1.46,2.82,
19:45:53,4979.30078125,208.5654296875,0.31,0.38,
19:45:54,4979.49609375,208.7607421875,0.17,0.17,
19:45:55,4979.49609375,208.7607421875,0.0,0.0,
19:45:56,4979.49609375,208.7607421875,0.0,0.0,
19:45:58,4995.83203125,211.2509765625,14.29,2.18,
19:45:59,4995.88671875,211.3447265625,0.05,0.08,
19:46:00,4995.88671875,211.3447265625,0.0,0.0,
19:46:01,4995.88671875,211.3447265625,0.0,0.0,
19:46:02,4995.88671875,211.3447265625,0.0,0.0,
19:46:03,4996.0,211.4970703125,0.1,0.13,
19:46:04,4996.0,211.4970703125,0.0,0.0,
19:46:06,4996.0,211.4970703125,0.0,0.0,
19:46:07,4996.0,211.4970703125,0.0,0.0,
19:46:08,4996.0546875,211.5908203125,0.05,0.08,
19:46:09,4998.103515625,215.0654296875,1.81,3.06,
19:46:10,4998.302734375,215.2607421875,0.17,0.17,
19:46:11,4998.400390625,215.3115234375,0.08,0.04,
19:46:13,4998.865234375,215.8662109375,0.41,0.49,
19:46:14,4999.017578125,216.0185546875,0.14,0.14,
19:46:15,5015.431640625,218.5869140625,14.49,2.27,
19:46:16,5015.431640625,218.5869140625,0.0,0.0,
19:46:17,5015.431640625,218.5869140625,0.0,0.0,
19:46:18,5015.486328125,218.6806640625,0.05,0.08,
19:46:19,5015.486328125,218.6806640625,0.0,0.0,
19:46:21,5015.486328125,218.6806640625,0.0,0.0,
19:46:22,5015.486328125,218.6806640625,0.0,0.0,
19:46:23,5015.599609375,218.8330078125,0.1,0.13,
19:46:24,5015.599609375,218.8330078125,0.0,0.0,
19:46:25,5015.599609375,218.8330078125,0.0,0.0,
19:46:26,5017.6953125,222.2255859375,1.78,2.88,
19:46:28,5017.6953125,222.2255859375,0.0,0.0,
19:46:29,5017.7890625,222.3193359375,0.08,0.08,
19:46:30,5017.7890625,222.3193359375,0.0,0.0,
19:46:31,5034.125,224.5361328125,14.06,1.91,
19:46:32,5034.125,224.5361328125,0.0,0.0,
19:46:33,5034.1796875,224.6298828125,0.05,0.08,
19:46:35,5034.1796875,224.6298828125,0.0,0.0,
19:46:36,5034.1796875,224.6298828125,0.0,0.0,
19:46:37,5034.1796875,224.6298828125,0.0,0.0,
19:46:38,5034.8359375,225.3369140625,0.58,0.63,
19:46:39,5034.8359375,225.46875,0.0,0.11,
19:46:40,5041.03125,227.986328125,5.42,2.2,
19:46:41,5041.2578125,228.037109375,0.2,0.04,
19:46:43,5041.4013671875,230.7109375,0.12,2.31,
19:46:44,5043.251953125,231.234375,1.58,0.45,
19:46:45,5043.251953125,231.234375,0.0,0.0,
19:46:46,5043.251953125,231.234375,0.0,0.0,
19:46:47,5043.251953125,231.234375,0.0,0.0,
19:46:48,5059.642578125,233.740234375,14.39,2.2,
19:46:49,5059.642578125,233.740234375,0.0,0.0,
19:46:51,5059.642578125,233.740234375,0.0,0.0,
19:46:52,5059.642578125,233.740234375,0.0,0.0,
19:46:53,5059.755859375,233.892578125,0.1,0.13,
19:46:54,5059.755859375,233.892578125,0.0,0.0,
19:46:55,5059.755859375,233.892578125,0.0,0.0,
19:46:56,5060.169921875,234.056640625,0.37,0.15,
19:46:58,5060.169921875,234.056640625,0.0,0.0,
19:46:59,5060.224609375,234.150390625,0.05,0.08,
19:47:00,5061.9765625,237.203125,1.57,2.73,
19:47:01,5062.125,237.25390625,0.13,0.05,
19:47:02,5062.58984375,237.80859375,0.41,0.49,
19:47:03,5062.7421875,237.9609375,0.13,0.13,
19:47:04,5064.099609375,239.970703125,1.2,1.77,
19:47:06,5079.15625,240.451171875,12.83,0.41,
19:47:07,5079.15625,240.451171875,0.0,0.0,
19:47:08,5079.2109375,240.544921875,0.05,0.08,
19:47:09,5079.2109375,240.544921875,0.0,0.0,
19:47:10,5079.65625,240.708984375,0.39,0.14,
19:47:11,5079.65625,240.708984375,0.0,0.0,
19:47:12,5079.65625,240.708984375,0.0,0.0,
19:47:14,5079.76953125,240.861328125,0.1,0.13,
19:47:15,5079.76953125,240.861328125,0.0,0.0,
19:47:16,5079.8740234375,241.28515625,0.09,0.36,
19:47:17,5081.966796875,244.3359375,1.69,2.46,
19:47:18,5082.060546875,244.4296875,0.08,0.08,
19:47:20,5082.060546875,244.4296875,0.0,0.0,
19:47:21,5082.060546875,244.4296875,0.0,0.0,
19:47:22,5098.396484375,246.880859375,13.43,2.02,
19:47:23,5098.451171875,246.974609375,0.04,0.08,
19:47:24,5098.451171875,246.974609375,0.0,0.0,
19:47:25,5098.451171875,246.974609375,0.0,0.0,
19:47:27,5098.451171875,246.974609375,0.0,0.0,
19:47:28,5098.916015625,247.529296875,0.38,0.46,
19:47:29,5099.029296875,247.681640625,0.1,0.13,
19:47:30,5099.029296875,247.681640625,0.0,0.0,
19:47:31,5099.029296875,247.681640625,0.0,0.0,
19:47:32,5099.029296875,247.681640625,0.0,0.0,
19:47:34,5100.875,250.828125,1.61,2.74,
19:47:35,5101.0234375,250.87890625,0.13,0.04,
19:47:36,5101.0234375,250.87890625,0.0,0.0,
19:47:37,5101.0234375,250.87890625,0.0,0.0,
19:47:38,5102.9501953125,253.052734375,1.67,1.88,
19:47:39,5117.58984375,253.169921875,12.8,0.1,
19:47:43,5117.6708984375,253.6162109375,0.02,0.14,
19:47:44,5117.7255859375,253.7099609375,0.05,0.08,
19:47:45,5117.7255859375,253.7099609375,0.0,0.0,
19:47:46,5117.7255859375,253.7099609375,0.0,0.0,
19:47:47,5117.7763671875,253.7607421875,0.04,0.04,
19:47:48,5117.8896484375,253.9130859375,0.1,0.13,
19:47:50,5117.9287109375,253.9775390625,0.03,0.06,
19:47:51,5119.7900390625,257.0009765625,1.6,2.6,
19:47:52,5119.7900390625,257.0009765625,0.0,0.0,
19:47:53,5120.3486328125,257.6884765625,0.49,0.6,
19:47:54,5120.3486328125,257.9765625,0.0,0.26,
19:47:55,5136.7236328125,260.193359375,14.41,1.95,
19:47:56,5136.7236328125,260.271484375,0.0,0.07,
19:47:58,5136.7236328125,260.271484375,0.0,0.0,
19:47:59,5136.8173828125,260.365234375,0.08,0.08,
19:48:00,5136.8173828125,260.365234375,0.0,0.0,
19:48:01,5136.8173828125,260.365234375,0.0,0.0,
19:48:02,5136.8173828125,260.4970703125,0.0,0.11,
19:48:03,5136.9306640625,260.6494140625,0.1,0.13,
19:48:05,5136.9306640625,260.6494140625,0.0,0.0,
19:48:06,5136.9306640625,260.6494140625,0.0,0.0,
19:48:07,5138.8779296875,263.9912109375,1.56,2.67,
19:48:08,5139.1201171875,264.1357421875,0.2,0.12,
19:48:09,5139.1201171875,264.1357421875,0.0,0.0,
19:48:11,5139.1201171875,264.1357421875,0.0,0.0,
19:48:12,5139.1982421875,265.9150390625,0.07,1.5,
19:48:13,5155.5341796875,266.6259765625,14.48,0.63,
19:48:14,5155.5888671875,266.7197265625,0.05,0.08,
19:48:15,5155.5888671875,266.7197265625,0.0,0.0,
19:48:16,5155.5888671875,266.7197265625,0.0,0.0,
19:48:17,5155.5888671875,266.7197265625,0.0,0.0,
19:48:19,5156.2451171875,267.4267578125,0.58,0.62,
