time,dalick,native,graphics,total
19:42:42,22092,15842,62408,182309,
19:42:43,23627,20829,65312,234166,
19:42:45,27915,22993,66112,246215,
19:42:46,22627,22857,65720,238763,
19:42:48,22627,22873,65720,239439,
19:42:49,22627,22853,65720,239395,
19:42:51,21547,22917,65720,237067,
19:42:53,28459,25293,64560,252345,
19:42:55,57515,27161,72112,295401,
19:42:57,48575,27161,72112,286401,
19:42:58,48647,27161,72112,286497,
19:43:00,48659,27161,72112,286493,
19:43:01,48659,26633,72112,285965,
19:43:03,50601,28441,119404,338401,
19:43:05,48821,50941,151908,393269,
19:43:06,47497,53069,151980,394241,
19:43:08,70712,33993,113364,365810,
19:43:10,59668,30365,111812,346498,
19:43:11,59680,30321,111812,346478,
19:43:13,59692,30297,112096,346734,
19:43:14,59668,30273,112104,346678,
19:43:16,59680,30269,112104,346694,
19:43:18,59704,30269,112104,346710,
19:43:20,60840,51585,128980,386400,
19:43:21,47732,56477,167628,414764,
19:43:23,47732,56377,167740,415114,
19:43:24,47768,32001,88484,311578,
19:43:26,60092,31373,115792,350303,
19:43:28,60064,31385,115820,350323,
19:43:29,60064,31365,115820,350299,
19:43:31,59968,31353,115820,350243,
19:43:32,60004,31357,115820,350295,
19:43:34,60020,31357,115820,350311,
19:43:36,60028,31361,115828,350309,
19:43:38,65484,56897,171556,436779,
19:43:39,48780,56901,171856,420523,
19:43:41,48780,56673,171928,420349,
19:43:42,64588,32381,117700,357189,
19:43:44,61284,32253,117876,353715,
19:43:46,61284,32253,117912,353737,
19:43:47,60392,32229,117912,352809,
19:43:49,60468,32221,117912,352885,
19:43:51,60476,32221,117912,352889,
19:43:52,60476,32217,117912,352881,
19:43:54,65504,57449,175492,439599,
19:43:55,50800,57469,176000,425455,
19:43:57,50800,57617,176064,425775,
19:43:58,62872,33113,121996,359067,
19:44:00,61436,33065,122920,358955,
19:44:02,61448,33017,122920,358931,
19:44:03,61460,32981,123212,359195,
19:44:05,61472,32973,123212,359191,
19:44:07,61424,32933,123212,359087,
19:44:08,61488,32929,123212,359155,
19:44:10,62800,54849,140096,399569,
19:44:12,51580,58317,178424,428751,
19:44:13,50524,58285,178604,427855,
19:44:15,51280,33777,98964,324113,
19:44:17,63468,33749,126388,363659,
19:44:18,62396,33733,126388,362575,
19:44:20,62408,33717,126680,362871,
19:44:22,62408,33709,126680,362859,
19:44:23,62440,33705,126680,362887,
19:44:25,62448,33701,126680,362887,
19:44:27,63304,44733,125316,373677,
19:44:29,65460,59169,182732,446771,
19:44:30,53656,59069,182948,435341,
19:44:32,54096,35057,103704,332607,
19:44:34,63676,34501,124748,364657,
19:44:36,63676,34489,124776,364669,
19:44:37,63676,34493,124776,364673,
19:44:39,63532,34469,124776,364513,
19:44:41,63552,34701,124776,364837,
19:44:42,63548,34697,124776,364781,
19:44:44,68212,60525,171760,442661,
19:44:46,54168,60225,179816,434595,
19:44:48,54168,60157,179900,434739,
19:44:49,56092,36317,119248,351825,
19:44:51,66312,35693,127092,369703,
19:44:53,66312,35701,127384,369999,
19:44:55,64812,35693,127384,368487,
19:44:56,64812,35669,127384,368463,
19:44:58,64812,35661,127400,368455,
19:45:00,64860,35645,127400,368503,
19:45:01,69912,60905,184112,455447,
19:45:03,56528,60941,183368,441317,
19:45:05,55156,60957,183380,440001,
19:45:06,72048,36521,128828,377357,
19:45:08,67280,36477,130460,374009,
19:45:10,65980,36477,130460,372697,
19:45:12,65992,36437,130460,372665,
19:45:13,66032,36437,130460,372721,
19:45:15,65980,36437,130460,372653,
19:45:17,65992,36433,130460,372661,
19:45:18,69120,61433,177208,448007,
19:45:20,56320,61677,182284,440669,
19:45:22,56320,61621,182484,440809,
19:45:24,70596,39945,129892,380305,
19:45:25,67304,37237,130800,375153,
19:45:27,67316,37237,130800,375177,
19:45:29,67200,37181,130800,375005,
19:45:31,67212,37181,130828,375033,
19:45:33,67212,37181,130828,375037,
19:45:34,67216,37181,130828,375041,
19:45:36,72008,62349,182044,456439,
19:45:38,57340,62425,183004,442729,
19:45:40,56324,62389,183388,442321,
19:45:41,68956,37833,131784,378098,
19:45:43,68964,37821,132152,378430,
19:45:45,68088,37817,132160,377546,
19:45:47,68100,37809,132160,377550,
19:45:48,68128,37789,132160,377582,
19:45:50,68088,37749,132160,377470,
19:45:52,69116,55509,130456,394856,
19:45:54,58132,63165,185040,445512,
19:45:56,57096,63101,185140,444706,
19:45:57,64056,39389,127408,369960,
19:45:59,70792,38889,133592,382160,
19:46:01,69476,38889,133600,380828,
19:46:03,69500,38853,133600,380832,
19:46:05,69516,38833,133600,380832,
19:46:06,69472,38829,133600,380768,
19:46:08,69484,38825,133600,380780,
19:46:10,74804,63725,187740,465640,
19:46:12,61424,63881,187872,452680,
19:46:13,60176,63829,187996,451756,
19:46:15,77060,39717,133932,390160,
19:46:17,70932,39681,134124,383992,
19:46:19,70960,39653,134256,384146,
19:46:21,70972,39593,134284,384122,
19:46:22,70936,39593,134284,384062,
19:46:24,71000,39581,134284,384138,
19:46:26,71828,51469,134284,397136,
19:46:28,61040,64901,188504,454170,
19:46:30,61088,64793,188944,454522,
19:46:32,70140,43601,130364,383200,
19:46:34,72104,40281,134896,386632,
19:46:35,72116,40261,134896,386624,
19:46:37,72116,40241,134896,386611,
19:46:39,72096,40225,135188,386875,
19:46:41,72120,40225,135188,386983,
19:46:43,72112,40201,135204,386891,
19:46:45,74040,65505,186828,466367,
19:46:46,60972,65429,186956,453335,
19:46:48,61956,41141,108468,350775,
19:46:50,76260,41213,135360,392283,
19:46:52,72960,41209,135652,389271,
19:46:54,73012,41209,135652,389339,
19:46:56,72924,41193,135652,389207,
19:46:57,72976,41185,135652,389267,
19:47:00,72992,41181,135652,389287,
