time,cpu
17:58:51,0.0%
17:58:52,27.49%
17:58:53,27.46%
17:58:55,11.8%
17:58:56,5.83%
17:58:57,5.21%
17:58:58,7.27%
17:59:00,7.15%
17:59:01,7.78%
17:59:02,33.06%
17:59:04,33.93%
17:59:05,10.0%
17:59:06,5.8%
17:59:07,8.22%
17:59:09,8.49%
17:59:10,8.94%
17:59:11,8.34%
17:59:13,29.62%
17:59:14,34.48%
17:59:15,34.96%
17:59:17,32.98%
17:59:18,39.6%
17:59:19,21.6%
17:59:20,20.45%
17:59:22,22.4%
17:59:23,22.61%
17:59:24,19.36%
17:59:26,21.5%
17:59:27,20.66%
17:59:28,23.94%
17:59:29,22.15%
17:59:31,27.42%
17:59:32,37.74%
17:59:33,32.85%
17:59:35,30.02%
17:59:36,18.25%
17:59:37,23.03%
17:59:39,19.54%
17:59:40,21.87%
17:59:41,27.19%
17:59:42,22.96%
17:59:44,23.3%
17:59:45,19.87%
17:59:46,31.45%
17:59:47,25.76%
17:59:49,29.0%
17:59:50,31.63%
17:59:51,28.97%
17:59:52,19.65%
17:59:54,22.4%
17:59:55,21.57%
17:59:56,21.41%
17:59:57,22.51%
17:59:59,23.02%
18:00:00,19.52%
18:00:01,22.17%
18:00:03,23.68%
18:00:04,33.59%
18:00:05,34.41%
18:00:06,32.17%
18:00:08,32.77%
18:00:09,22.59%
18:00:10,21.83%
18:00:12,22.69%
18:00:13,22.46%
18:00:14,20.48%
18:00:16,19.84%
18:00:17,22.48%
18:00:18,23.95%
18:00:19,25.45%
18:00:21,32.24%
18:00:22,38.6%
18:00:23,37.34%
18:00:25,36.92%
18:00:26,14.25%
18:00:27,23.73%
18:00:28,22.37%
18:00:30,22.86%
18:00:31,21.58%
18:00:32,20.76%
18:00:33,25.3%
18:00:35,24.42%
18:00:36,21.47%
18:00:37,29.41%
18:00:38,35.12%
18:00:40,37.24%
18:00:41,36.06%
18:00:42,34.26%
18:00:43,20.46%
18:00:45,24.15%
18:00:46,21.66%
18:00:47,19.66%
18:00:49,24.52%
18:00:50,23.9%
18:00:51,24.24%
18:00:52,22.96%
18:00:54,23.65%
18:00:55,31.84%
18:00:56,37.11%
18:00:58,37.97%
18:00:59,35.33%
18:01:00,25.94%
18:01:01,18.33%
18:01:03,21.98%
18:01:04,22.28%
18:01:05,23.59%
18:01:06,22.98%
18:01:08,19.04%
18:01:09,22.64%
18:01:10,22.48%
18:01:12,33.95%
18:01:13,30.96%
18:01:14,37.11%
18:01:15,37.02%
18:01:17,32.48%
18:01:18,16.81%
18:01:19,22.86%
18:01:20,23.22%
18:01:22,24.05%
18:01:23,22.46%
18:01:24,23.07%
18:01:25,22.68%
18:01:27,22.87%
18:01:28,20.27%
18:01:29,39.3%
18:01:31,35.76%
18:01:32,34.94%
18:01:33,33.59%
18:01:34,24.44%
18:01:36,22.61%
18:01:37,23.23%
18:01:38,16.98%
18:01:39,21.63%
18:01:41,22.34%
18:01:42,24.94%
18:01:43,22.07%
18:01:45,26.9%
18:01:46,40.89%
18:01:47,35.16%
18:01:48,31.3%
18:01:50,36.01%
18:01:51,28.0%
18:01:52,19.05%
18:01:53,21.4%
18:01:55,23.36%
18:01:56,23.63%
18:01:57,21.4%
18:01:59,19.72%
18:02:00,24.03%
18:02:01,22.18%
18:02:02,32.85%
18:02:04,35.02%
18:02:05,35.82%
18:02:06,37.73%
18:02:08,32.85%
18:02:09,17.02%
18:02:10,22.54%
18:02:11,21.42%
18:02:13,25.45%
18:02:14,21.63%
18:02:15,23.88%
18:02:17,23.84%
18:02:18,22.46%
18:02:19,18.37%
18:02:20,39.4%
18:02:22,34.29%
18:02:23,36.84%
18:02:24,33.79%
18:02:26,26.12%
18:02:27,22.71%
18:02:28,21.04%
18:02:29,19.09%
18:02:31,22.97%
18:02:32,24.68%
18:02:33,20.67%
18:02:34,23.44%
18:02:36,24.05%
18:02:37,33.75%
18:02:38,35.33%
18:02:40,34.92%
18:02:41,36.96%
18:02:42,26.34%
18:02:43,20.12%
18:02:45,22.85%
18:02:46,25.05%
18:02:47,21.08%
18:02:48,24.36%
18:02:50,25.8%
18:02:51,23.18%
18:02:52,22.29%
18:02:53,33.33%
18:02:55,34.26%
18:02:56,36.36%
18:02:57,38.25%
18:02:58,33.12%
18:03:00,24.43%
18:03:01,22.26%
18:03:02,23.4%
18:03:03,24.38%
18:03:05,24.53%
18:03:06,22.5%
18:03:07,25.04%
18:03:09,24.64%
18:03:10,23.86%
18:03:11,29.46%
18:03:12,35.02%
18:03:14,37.08%
18:03:15,38.91%
18:03:16,21.1%
18:03:17,23.82%
18:03:19,22.26%
18:03:20,20.24%
18:03:21,25.7%
18:03:23,24.23%
18:03:24,25.52%
18:03:25,19.79%
18:03:26,26.98%
18:03:28,35.28%
18:03:29,27.21%
18:03:30,34.45%
18:03:31,38.36%
18:03:33,34.43%
18:03:34,21.11%
18:03:35,25.25%
18:03:36,23.44%
18:03:38,18.72%
18:03:39,27.92%
18:03:40,23.18%
18:03:41,22.96%
18:03:43,23.13%
18:03:44,26.68%
18:03:45,35.08%
18:03:47,33.67%
18:03:48,37.5%
18:03:49,37.7%
18:03:50,23.75%
18:03:52,21.35%
18:03:53,25.0%
18:03:54,27.84%
18:03:56,21.51%
18:03:57,25.92%
18:03:58,24.34%
18:03:59,21.99%
18:04:01,23.26%
18:04:02,34.59%
18:04:03,26.59%
18:04:04,37.27%
18:04:06,36.45%
18:04:07,35.55%
18:04:08,19.87%
18:04:10,22.6%
18:04:11,25.0%
18:04:12,17.46%
18:04:13,27.01%
18:04:15,25.36%
18:04:16,22.33%
18:04:17,26.83%
18:04:18,28.82%
18:04:20,40.51%
18:04:21,35.67%
18:04:22,33.9%
18:04:23,34.69%
18:04:25,25.27%
18:04:26,25.53%
18:04:27,22.51%
18:04:29,25.66%
18:04:30,23.63%
18:04:31,20.74%
18:04:32,25.25%
18:04:34,25.52%
18:04:35,22.13%
18:04:36,34.48%
18:04:37,35.3%
18:04:39,37.27%
18:04:40,35.01%
18:04:41,27.75%
18:04:43,21.53%
18:04:44,21.01%
18:04:45,27.25%
18:04:46,25.8%
18:04:48,19.1%
18:04:49,26.55%
18:04:50,25.83%
18:04:51,22.15%
18:04:53,28.36%
18:04:54,33.53%
18:04:55,34.34%
18:04:57,38.28%
18:04:58,34.53%
18:04:59,23.41%
18:05:00,21.78%
18:05:02,25.44%
18:05:03,22.24%
18:05:04,22.19%
18:05:06,27.1%
18:05:07,25.15%
18:05:08,22.24%
18:05:09,29.38%
18:05:11,35.37%
18:05:12,39.71%
18:05:13,35.04%
18:05:14,37.68%
18:05:16,21.65%
18:05:17,24.21%
18:05:18,26.97%
18:05:19,24.42%
18:05:21,22.28%
18:05:22,27.41%
18:05:23,22.92%
18:05:25,21.7%
18:05:26,27.41%
18:05:27,36.61%
18:05:28,32.0%
18:05:30,38.49%
18:05:31,35.88%
18:05:32,25.8%
18:05:33,22.5%
18:05:35,25.72%
18:05:36,22.92%
18:05:37,24.64%
18:05:39,26.21%
18:05:40,23.28%
18:05:41,25.53%
18:05:42,25.76%
18:05:44,30.78%
18:05:45,39.52%
18:05:46,36.65%
18:05:47,35.13%
18:05:49,28.93%
18:05:50,23.71%
18:05:51,23.44%
18:05:52,23.54%
18:05:54,25.99%
18:05:55,22.15%
18:05:56,24.47%
18:05:57,26.83%
18:05:59,20.63%
18:06:00,31.19%
18:06:01,34.49%
18:06:02,31.7%
18:06:04,32.8%
18:06:05,38.69%
18:06:06,16.63%
18:06:07,25.98%
18:06:09,26.58%
18:06:10,22.52%
18:06:11,25.04%
18:06:13,26.61%
18:06:14,19.45%
18:06:15,26.13%
18:06:16,27.2%
18:06:18,26.89%
18:06:19,38.13%
18:06:20,37.8%
18:06:21,31.71%
18:06:23,29.69%
18:06:24,26.28%
18:06:25,17.08%
18:06:26,26.78%
18:06:28,26.69%
18:06:29,23.07%
18:06:30,25.78%
18:06:31,26.69%
18:06:33,22.9%
18:06:34,37.44%
18:06:35,30.19%
18:06:37,39.75%
18:06:38,37.79%
18:06:39,25.91%
18:06:40,27.21%
18:06:42,26.2%
18:06:43,19.64%
18:06:44,30.37%
18:06:45,22.5%
18:06:47,23.01%
18:06:48,26.5%
18:06:49,27.65%
18:06:50,34.8%
18:06:52,38.98%
18:06:53,34.46%
18:06:54,39.78%
18:06:55,33.66%
18:06:57,12.78%
18:06:58,30.69%
18:06:59,27.25%
18:07:00,19.7%
18:07:02,27.68%
