time,dalick,native,graphics,total
17:58:51,26619,17111,65872,203820,
17:58:53,25372,21567,67780,240035,
17:58:54,28096,22823,68564,248207,
17:58:56,25144,22755,68696,242857,
17:58:57,25144,22751,68696,243509,
17:58:59,24120,22739,68696,242421,
17:59:00,24144,22739,68696,242453,
17:59:03,31292,25015,65256,255871,
17:59:05,58196,27367,76340,302433,
17:59:06,54884,27375,76340,299053,
17:59:08,54900,27391,76340,299109,
17:59:09,54900,27391,76340,299093,
17:59:11,53732,26875,76340,297405,
17:59:14,55855,47095,143756,388356,
17:59:16,51035,54995,175884,423516,
17:59:18,50083,30027,110676,332651,
17:59:19,73622,30291,118772,364793,
17:59:21,64778,30267,118904,356035,
17:59:22,64778,30275,119080,356181,
17:59:24,63406,30263,119080,354793,
17:59:26,63414,30243,119080,354745,
17:59:27,63414,30247,119080,354745,
17:59:29,63402,30243,119080,354733,
17:59:31,64894,43071,173928,423460,
17:59:33,50730,45691,174388,412514,
17:59:34,50510,31687,95768,319246,
17:59:36,63034,31747,119608,356408,
17:59:38,62998,31743,119648,356370,
17:59:39,62998,31707,119648,356330,
17:59:41,61982,31747,119648,353982,
17:59:42,62066,31803,119808,353604,
17:59:44,62078,31795,119808,353592,
17:59:46,62078,31791,119808,353584,
17:59:47,63986,45555,178856,428586,
17:59:49,52990,45703,179480,418194,
17:59:50,52990,45623,209316,447830,
17:59:52,64646,33067,119200,356926,
17:59:54,62510,32899,120072,355028,
17:59:55,62522,32883,120072,355008,
17:59:57,62522,32895,120224,355178,
17:59:59,62574,32871,120224,355226,
18:00:00,62466,32863,120224,355076,
18:00:02,62478,32839,120224,355060,
18:00:03,64534,45651,165820,415978,
18:00:05,53678,46075,209508,448534,
18:00:06,52602,46307,210932,449122,
18:00:08,52854,34999,132368,359446,
18:00:10,65758,33319,121340,359530,
18:00:11,63898,33291,121372,357554,
18:00:13,62930,33291,121380,356570,
18:00:14,62942,33115,121380,356358,
18:00:16,62942,33115,121380,356366,
18:00:18,62946,33115,121380,356382,
18:00:20,62906,32995,121380,356034,
18:00:21,64278,46639,179908,430098,
18:00:23,53226,46775,180184,419386,
18:00:24,52890,46863,210824,449794,
18:00:26,65242,33771,121780,359818,
18:00:28,64970,33731,121668,359218,
18:00:29,64970,33715,121668,359194,
18:00:31,63778,33707,121668,357994,
18:00:32,63834,33695,121668,358034,
18:00:34,63834,33663,121668,358018,
18:00:36,63798,33655,121668,357941,
18:00:37,66686,47323,208440,461501,
18:00:39,55770,47423,210236,452335,
18:00:40,55770,47527,211292,453597,
18:00:42,54162,47583,211192,451917,
18:00:44,68834,36195,122224,365951,
18:00:45,66526,34815,122384,362415,
18:00:47,66526,34807,122384,362399,
18:00:49,65094,34879,122384,361043,
18:00:50,65110,34879,122384,361055,
18:00:52,65110,34879,122384,361059,
18:00:53,65114,34855,122384,361035,
18:00:55,67830,48171,207860,462811,
18:00:57,55822,48163,208588,451361,
18:00:58,55822,48423,209284,452369,
18:01:00,56474,35555,117168,348051,
18:01:01,66334,35715,123344,364121,
18:01:03,66370,35691,123476,364271,
18:01:05,66382,35691,123476,364279,
18:01:06,66382,35679,123504,364295,
18:01:08,66346,35675,123504,364259,
18:01:10,66354,35671,123504,364255,
18:01:12,66730,40823,122076,368629,
18:01:13,55854,49095,211144,454969,
18:01:15,55890,49283,211288,455313,
18:01:17,55986,36539,131296,362651,
18:01:18,66882,36455,123868,365893,
18:01:20,66882,36447,123756,365737,
18:01:22,66882,36419,123756,365713,
18:01:23,66802,36411,123756,365621,
18:01:25,66810,36423,123916,365795,
18:01:27,66810,36419,123916,365783,
18:01:28,67338,46471,123916,376661,
18:01:30,69350,49643,212584,470439,
18:01:32,58178,49871,212540,459419,
18:01:34,57346,37235,134936,368313,
18:01:35,69014,37371,124124,369161,
18:01:37,69014,37343,124124,369101,
18:01:39,67830,37355,124388,368201,
18:01:40,67842,37347,124388,368197,
18:01:42,67842,37339,124388,368201,
18:01:44,67858,37339,124408,368225,
18:01:46,69582,48679,185340,442539,
18:01:47,60030,50595,212760,462329,
18:01:49,58582,50795,213008,461325,
18:01:51,59522,37999,104500,340647,
18:01:52,70010,37991,125168,371693,
18:01:54,69094,37991,125168,370717,
18:01:56,69106,37987,125168,370725,
18:01:57,69106,37975,125168,370705,
18:01:59,69134,37975,125184,370765,
18:02:01,69142,37971,125184,370771,
18:02:02,72282,50815,171144,432807,
18:02:04,59822,51303,214204,463733,
18:02:06,59878,51511,214432,464213,
18:02:07,60726,38619,105400,343149,
18:02:09,70614,38771,124880,373101,
18:02:11,70626,38763,124880,373101,
18:02:13,70626,38763,124908,373145,
18:02:14,70586,38719,124908,373025,
18:02:16,70598,38711,124908,373041,
18:02:18,70610,38687,124908,373033,
18:02:20,71346,49671,126732,386863,
18:02:21,62534,52019,214048,467687,
18:02:23,62542,52207,214440,468271,
18:02:25,62642,39687,104272,345645,
18:02:27,72882,39739,124088,376055,
18:02:28,72882,39747,124372,376351,
18:02:30,72882,39735,124380,376327,
18:02:32,71738,39719,124380,375159,
18:02:34,71766,39719,124380,375211,
18:02:35,71726,39715,124380,375135,
18:02:37,74866,52831,154544,422225,
18:02:39,64006,52831,212324,469035,
18:02:40,64006,53039,213212,470071,
18:02:42,75870,40507,122216,378343,
18:02:44,74962,40483,123536,379001,
18:02:46,74962,40467,123536,378953,
18:02:47,73386,40467,123536,377365,
18:02:49,73446,40439,123536,377485,
18:02:51,73482,40431,123536,377417,
18:02:52,73382,40431,123536,377317,
18:02:54,76370,53719,181888,451135,
18:02:56,64986,53779,212540,470615,
18:02:58,63258,53931,213920,470411,
18:02:59,76658,41047,125688,382297,
18:03:01,75978,40963,125832,381516,
18:03:03,74558,40971,126096,380368,
18:03:04,74594,40943,126096,380404,
18:03:06,74594,40939,126096,380384,
18:03:08,74570,40915,126096,380320,
18:03:10,74630,40899,126096,380356,
18:03:11,77194,54403,213008,483812,
18:03:13,66270,54431,214424,474228,
18:03:15,66274,54575,214956,474896,
18:03:16,66326,42283,117220,364744,
18:03:18,63490,42263,118504,363088,
18:03:20,63490,42191,118508,363020,
18:03:22,75290,42279,124464,381664,
18:03:24,75370,42299,124756,382072,
18:03:25,75394,42295,124756,382108,
18:03:27,75394,42275,124756,382048,
18:03:29,77594,55279,213732,486328,
18:03:31,66386,55411,213116,474532,
18:03:33,65198,55503,138552,398844,
18:03:34,76674,42975,126384,385532,
