time,dalick,native,graphics,total
17:16:58,23211,16017,74716,201755,
17:16:59,24415,21809,78448,255684,
17:17:01,27731,22653,78724,262922,
17:17:02,22563,22537,78724,254906,
17:17:04,22563,22541,78724,255590,
17:17:05,22563,22521,78724,255534,
17:17:07,21823,22521,78724,254770,
17:17:09,28706,24863,76504,268333,
17:17:11,54774,26695,91956,315109,
17:17:13,50358,26695,91956,310653,
17:17:14,50426,26699,91956,310753,
17:17:16,50438,26831,91956,308845,
17:17:17,52078,26331,91956,309993,
17:17:19,53330,41303,157288,393366,
17:17:21,48854,42731,158720,391964,
17:17:22,48854,42763,188492,421752,
17:17:25,51929,33403,106472,333684,
