time,cpu
16:58:03,0.0%
16:58:04,39.36%
16:58:05,29.63%
16:58:06,10.3%
16:58:08,6.73%
16:58:09,3.3%
16:58:10,7.27%
16:58:12,6.13%
16:58:13,11.47%
16:58:14,38.98%
16:58:15,27.98%
16:58:17,8.72%
16:58:18,9.76%
16:58:19,9.28%
16:58:21,5.27%
16:58:22,6.74%
16:58:23,11.2%
16:58:24,37.33%
16:58:26,42.39%
16:58:27,39.43%
16:58:28,34.23%
16:58:29,34.02%
16:58:31,38.96%
16:58:32,37.77%
16:58:33,36.54%
16:58:35,38.07%
16:58:36,34.41%
16:58:37,33.26%
16:58:38,30.32%
16:58:40,41.58%
16:58:41,38.64%
16:58:42,36.6%
16:58:44,37.0%
16:58:45,38.76%
16:58:46,39.45%
16:58:47,35.64%
16:58:49,36.0%
16:58:50,39.03%
16:58:51,35.36%
16:58:52,37.47%
16:58:54,31.23%
16:58:55,41.22%
16:58:56,34.0%
