time,down,up,down_speed,up_speed
16:58:03,0.3759765625,1.0224609375,2.89,7.87,
16:58:04,0.8291015625,1.9599609375,0.36,0.74,
16:58:05,2.0654296875,4.080078125,1.09,1.87,
16:58:06,2.9052734375,5.623046875,0.72,1.32,
16:58:07,2.9541015625,5.6650390625,0.04,0.04,
16:58:08,2.9541015625,5.6650390625,0.0,0.0,
16:58:10,2.9541015625,5.6650390625,0.0,0.0,
16:58:11,3.0029296875,5.71484375,0.04,0.04,
16:58:12,3.0029296875,5.71484375,0.0,0.0,
16:58:13,3.966796875,8.458984375,0.83,2.36,
16:58:14,126.25390625,26.21875,106.24,15.43,
16:58:15,223.775390625,34.5986328125,85.17,7.32,
16:58:17,224.21875,34.8125,0.38,0.18,
16:58:18,224.26953125,34.8125,0.04,0.0,
16:58:19,224.32421875,34.9482421875,0.05,0.11,
16:58:20,224.521484375,35.1435546875,0.17,0.16,
16:58:21,224.521484375,35.1826171875,0.0,0.03,
16:58:23,224.521484375,35.306640625,0.0,0.11,
16:58:24,864.6865234375,53.4599609375,533.92,15.14,
16:58:25,2244.6083984375,81.5048828125,1198.89,24.37,
16:58:26,3694.6669921875,110.9677734375,1267.53,25.75,
16:58:27,4647.8173828125,132.1328125,787.08,17.48,
16:58:28,4647.8173828125,132.1328125,0.0,0.0,
16:58:30,5490.0302734375,151.005859375,718.61,16.1,
16:58:31,5490.0693359375,151.1904296875,0.03,0.16,
16:58:32,5490.0693359375,151.1904296875,0.0,0.0,
16:58:33,5490.0693359375,151.1904296875,0.0,0.0,
16:58:34,5490.2021484375,151.46875,0.11,0.24,
16:58:35,5490.2021484375,151.46875,0.0,0.0,
16:58:37,5490.2021484375,151.46875,0.0,0.0,
16:58:38,5490.2021484375,151.46875,0.0,0.0,
16:58:39,5490.9365234375,152.3603515625,0.65,0.79,
16:58:40,5490.9365234375,152.3603515625,0.0,0.0,
16:58:41,5490.9755859375,152.544921875,0.04,0.17,
16:58:42,5490.9755859375,152.544921875,0.0,0.0,
16:58:43,5490.9755859375,152.544921875,0.0,0.0,
16:58:45,5491.1083984375,152.8232421875,0.12,0.25,
16:58:46,5491.1083984375,152.8232421875,0.0,0.0,
16:58:47,5491.1083984375,152.8232421875,0.0,0.0,
16:58:48,5491.1474609375,153.0078125,0.03,0.16,
16:58:49,5491.2998046875,153.16015625,0.13,0.13,
16:58:50,5491.2998046875,153.16015625,0.0,0.0,
16:58:51,5491.3388671875,153.3447265625,0.03,0.16,
16:58:53,5491.3388671875,153.3447265625,0.0,0.0,
16:58:54,5491.4326171875,153.4775390625,0.08,0.12,
16:58:55,5491.4326171875,153.4775390625,0.0,0.0,
16:58:56,5491.4326171875,153.4775390625,0.0,0.0,
