time,dalick,native,graphics,total
16:57:11,24606,14464,79604,198980,
16:57:13,23720,19888,81656,244590,
16:57:14,21962,20684,82328,246174,
16:57:16,23858,21024,82500,249885,
16:57:17,22302,20676,82184,244997,
16:57:19,22302,20660,82184,245625,
16:57:20,21519,20672,82184,244800,
16:57:22,21531,20724,82184,244904,
16:57:23,21531,20652,82184,244640,
16:57:25,21531,20492,82184,244184,
16:57:26,21515,20492,82184,244144,
16:57:28,21527,20492,82184,244168,
16:57:29,21527,20608,82184,242236,
16:57:31,21527,20608,82184,242236,
16:57:33,30875,22098,78916,259769,
16:57:34,35677,39762,148792,355070,
16:57:36,37165,42122,178728,389148,
16:57:37,37077,42270,178884,389244,
16:57:39,33397,42334,178984,385688,
16:57:41,33621,42298,179084,386030,
16:57:42,33665,42386,179184,386234,
16:57:44,33389,42570,179284,386214,
16:57:45,33409,42686,179384,386454,
16:57:47,33441,42510,179460,386390,
16:57:48,33461,42578,179468,386478,
16:57:50,33433,42446,179476,386318,
16:57:51,33445,42014,179488,385918,
16:57:53,33449,42214,179496,386126,
16:57:54,33457,42194,179500,386094,
16:57:56,33413,42306,179512,386162,
16:57:57,33421,42490,179520,386386,
16:57:59,33421,42594,179528,386486,
16:58:01,33421,42562,179536,386466,
16:58:02,33409,42374,179548,386214,
