time,cpu
16:57:11,0.0%
16:57:12,37.5%
16:57:13,26.83%
16:57:15,22.57%
16:57:16,16.45%
16:57:17,14.61%
16:57:18,14.64%
16:57:20,10.1%
16:57:21,18.9%
16:57:22,18.18%
16:57:24,8.5%
16:57:25,2.51%
16:57:26,2.57%
16:57:27,4.89%
16:57:29,8.51%
16:57:30,4.17%
16:57:31,9.85%
16:57:33,29.97%
16:57:34,32.96%
16:57:35,40.82%
16:57:36,34.44%
16:57:38,28.01%
16:57:39,32.3%
16:57:40,32.99%
16:57:41,32.8%
16:57:43,32.05%
16:57:44,37.9%
16:57:45,28.94%
16:57:46,33.26%
16:57:48,29.36%
16:57:49,33.47%
16:57:50,32.46%
16:57:52,33.39%
16:57:53,28.77%
16:57:54,39.45%
16:57:55,31.82%
16:57:57,28.57%
16:57:58,30.08%
16:57:59,30.95%
16:58:00,34.59%
16:58:02,30.5%
16:58:03,22.08%
