key,Ps0:com.imo.android.imoimalpha
alias,PSS0
unit,(KB)
begin date,2019-07-01
end date,2019-07-01
count,26

,total,dalvik,native
min,49596.0,3810.0,5503.0
max,50803.0,4770.0,5735.0
avg,49930.0,4128.0,5625.0

16:38:46.673,50114,4699,5723
16:38:47.820,50114,4699,5723
16:38:48.978,50114,4699,5723
16:38:50.115,50114,4699,5723
16:38:51.347,50114,4699,5723
16:38:52.558,50803,4770,5735
16:38:53.760,50803,4770,5735
16:38:54.939,50803,4770,5735
16:38:56.121,50803,4770,5735
16:38:57.366,49835,3810,5735
16:38:58.565,49835,3810,5735
16:38:59.840,49835,3810,5735
16:39:01.025,49835,3810,5735
16:39:02.199,49835,3810,5735
16:39:03.391,49607,3810,5503
16:39:04.613,49607,3810,5503
16:39:05.829,49606,3810,5503
16:39:07.159,49603,3810,5503
16:39:08.412,49602,3810,5503
16:39:09.661,49602,3810,5503
16:39:10.816,49602,3810,5503
16:39:11.948,49602,3810,5503
16:39:13.128,49602,3810,5503
16:39:14.310,49602,3810,5503
16:39:15.548,49596,3810,5503
16:39:16.743,49596,3810,5503

