key,Pcp0:com.imo.android.imoimalpha
alias,PCP0
unit,(%)
begin date,2019-07-01
end date,2019-07-01
count,29

min,0.0%
max,3.7%
avg,0.13%

16:38:43.400,0.0%
16:38:44.479,0.0%
16:38:45.546,0.0%
16:38:46.593,0.0%
16:38:47.711,0.0%
16:38:48.867,0.0%
16:38:50.019,0.0%
16:38:51.219,0.0%
16:38:52.458,3.7%
16:38:53.653,0.0%
16:38:54.853,0.0%
16:38:56.019,0.0%
16:38:57.233,0.0%
16:38:58.472,0.0%
16:38:59.694,0.0%
16:39:00.934,0.0%
16:39:02.106,0.0%
16:39:03.299,0.21%
16:39:04.499,0.0%
16:39:05.734,0.0%
16:39:06.920,0.0%
16:39:08.300,0.0%
16:39:09.513,0.0%
16:39:10.743,0.0%
16:39:11.878,0.0%
16:39:13.054,0.0%
16:39:14.227,0.0%
16:39:15.407,0.0%
16:39:16.638,0.0%
