time,down,up,down_speed,up_speed
17:06:57,0.0,0.05078125,0.0,0.39,
17:06:59,3.00390625,2.16015625,2.34,1.64,
17:07:00,4.291015625,4.2958984375,1.11,1.84,
17:07:01,5.029296875,5.2373046875,0.63,0.81,
17:07:02,5.078125,5.287109375,0.04,0.04,
17:07:03,5.078125,5.287109375,0.0,0.0,
17:07:05,5.078125,5.287109375,0.0,0.0,
17:07:06,5.126953125,5.3291015625,0.04,0.04,
17:07:07,5.126953125,5.3291015625,0.0,0.0,
17:07:08,5.7978515625,7.2958984375,0.6,1.75,
17:07:09,26.724609375,16.83984375,18.59,8.48,
17:07:10,168.8818359375,30.43359375,124.48,11.9,
17:07:11,168.9306640625,30.4755859375,0.04,0.04,
17:07:13,168.9306640625,30.4755859375,0.0,0.0,
17:07:14,169.0244140625,30.6259765625,0.08,0.13,
17:07:15,169.1728515625,30.71484375,0.13,0.08,
17:07:16,169.1728515625,30.75390625,0.0,0.03,
17:07:17,169.3212890625,31.0068359375,0.13,0.21,
17:07:19,809.6328125,47.3798828125,543.56,13.9,
17:07:20,2003.4423828125,73.677734375,951.24,20.95,
17:07:21,2600.4296875,88.994140625,525.05,13.47,
17:07:22,3014.7197265625,98.2724609375,368.91,8.26,
17:07:23,3098.3837890625,100.3369140625,73.2,1.81,
17:07:24,3098.5361328125,100.4892578125,0.13,0.13,
17:07:26,3098.5751953125,100.673828125,0.03,0.16,
17:07:27,3098.5751953125,100.673828125,0.0,0.0,
17:07:28,3098.5751953125,100.673828125,0.0,0.0,
17:07:29,3098.7080078125,100.9521484375,0.11,0.24,
17:07:30,3098.9619140625,101.1162109375,0.22,0.14,
17:07:31,3099.0126953125,101.1162109375,0.04,0.0,
17:07:33,3099.0126953125,101.1162109375,0.0,0.0,
17:07:34,3099.5947265625,101.85546875,0.49,0.63,
17:07:35,3099.7470703125,102.0078125,0.14,0.14,
17:07:36,3099.7470703125,102.1923828125,0.0,0.15,
